hum10,hum3,hum4,hum5,hum6,hum7,hum8,hum9,scale1,scale2,timestamp,tmp10,tmp3,tmp4,tmp5,tmp6,tmp7,tmp8,tmp9
0.0,22.75,22.78,22.75,22.4,0.0,0.0,0.0,3214.0,3408.0,2018-05-31T00:02:47.340Z,0.0,83.35,86.21,100.0,88.8,0.0,0.0,0.0
0.0,21.7,21.55,21.87,21.6,0.0,0.0,0.0,3215.0,3412.0,2018-05-30T19:30:21.953Z,0.0,84.6,87.67,100.0,90.0,0.0,0.0,0.0
0.0,22.3,22.3,22.53,22.2,0.0,0.0,0.0,3216.0,3419.0,2018-05-30T15:00:47.094Z,0.0,85.1,87.95,100.0,90.3,0.0,0.0,0.0
0.0,22.7,22.67,22.92,22.65,0.0,0.0,0.0,3222.0,3432.0,2018-05-29T13:30:16.435Z,0.0,87.0,88.55,100.0,90.6,0.0,0.0,0.0
0.0,23.2,23.18,23.45,23.2,0.0,0.0,0.0,3223.0,3435.0,2018-05-29T09:00:45.074Z,0.0,87.5,88.83,100.0,90.8,0.0,0.0,0.0
0.0,23.5,23.6,23.73,23.5,0.0,0.0,0.0,3225.0,3438.0,2018-05-29T04:31:13.894Z,0.0,87.25,88.53,100.0,90.8,0.0,0.0,0.0
0.0,22.9,22.93,22.95,22.6,0.0,0.0,0.0,3226.0,3438.0,2018-05-29T00:01:39.483Z,0.0,86.2,87.73,100.0,90.3,0.0,0.0,0.0
0.0,21.9,21.89,22.1,21.8,0.0,0.0,0.0,3227.0,3438.0,2018-05-28T19:30:00.654Z,0.0,86.65,88.59,100.0,90.5,0.0,0.0,0.0
0.0,21.5,21.5,21.67,21.4,0.0,0.0,0.0,3227.0,3437.0,2018-05-28T14:58:25.308Z,0.0,86.2,88.27,100.0,90.2,0.0,0.0,0.0
0.0,21.2,21.1,21.23,21.0,0.0,0.0,0.0,3228.0,3436.0,2018-05-28T13:26:02.490Z,0.0,85.9,87.92,100.0,90.0,0.0,0.0,0.0
0.0,21.1,21.08,21.44,21.2,0.0,0.0,0.0,3226.0,3433.0,2018-05-28T08:56:30.825Z,0.0,88.2,89.51,100.0,90.9,0.0,0.0,0.0
0.0,23.9,23.9,24.0,23.7,0.0,0.0,0.0,3228.0,3436.0,2018-05-28T04:26:59.652Z,0.0,87.8,88.62,100.0,91.0,0.0,0.0,0.0
0.0,23.1,23.07,23.09,22.8,0.0,0.0,0.0,3233.0,3435.0,2018-05-27T23:57:28.364Z,0.0,87.3,88.27,100.0,90.85,0.0,0.0,0.0
0.0,22.5,22.45,22.71,22.4,0.0,0.0,0.0,3233.0,3436.0,2018-05-27T19:27:56.914Z,0.0,88.0,89.25,100.0,91.2,0.0,0.0,0.0
0.0,22.7,22.62,22.87,22.6,0.0,0.0,0.0,3234.0,3437.0,2018-05-27T14:58:25.135Z,0.0,88.35,89.42,100.0,91.4,0.0,0.0,0.0
0.0,22.75,22.68,22.94,22.7,0.0,0.0,0.0,3235.0,3437.0,2018-05-27T13:31:26.977Z,0.0,88.45,89.48,100.0,91.45,0.0,0.0,0.0
0.0,23.1,23.1,23.29,23.0,0.0,0.0,0.0,3236.0,3439.0,2018-05-27T09:01:52.217Z,0.0,88.65,89.65,100.0,91.6,0.0,0.0,0.0
0.0,23.3,23.39,23.58,23.3,0.0,0.0,0.0,3238.0,3442.0,2018-05-27T04:30:16.786Z,0.0,88.7,89.68,100.0,91.7,0.0,0.0,0.0
0.0,23.05,23.09,23.17,22.9,0.0,0.0,0.0,3240.0,3442.0,2018-05-27T00:00:42.250Z,0.0,88.2,89.08,100.0,91.2,0.0,0.0,0.0
0.0,22.3,22.28,22.54,22.3,0.0,0.0,0.0,3241.0,3443.0,2018-05-26T19:27:54.812Z,0.0,88.8,89.81,100.0,91.5,0.0,0.0,0.0
0.0,22.5,22.47,22.73,22.5,0.0,0.0,0.0,3241.0,3444.0,2018-05-26T14:58:23.479Z,0.0,89.1,90.0,100.0,91.7,0.0,0.0,0.0
0.0,22.6,22.55,22.8,22.5,0.0,0.0,0.0,3242.0,3445.0,2018-05-26T13:30:13.154Z,0.0,89.25,90.04,100.0,91.7,0.0,0.0,0.0
0.0,22.95,22.9,23.17,22.9,0.0,0.0,0.0,3243.0,3446.0,2018-05-26T08:58:37.800Z,0.0,89.75,90.21,100.0,91.9,0.0,0.0,0.0
0.0,23.4,23.48,23.66,23.4,0.0,0.0,0.0,3245.0,3448.0,2018-05-26T04:29:06.594Z,0.0,89.6,90.12,100.0,91.95,0.0,0.0,0.0
0.0,23.25,23.29,23.33,23.0,0.0,0.0,0.0,3246.0,3448.0,2018-05-25T23:59:35.351Z,0.0,89.15,89.55,100.0,91.6,0.0,0.0,0.0
0.0,22.6,22.54,22.78,22.5,0.0,0.0,0.0,3247.0,3450.0,2018-05-25T19:30:04.272Z,0.0,89.9,90.48,100.0,92.05,0.0,0.0,0.0
0.0,22.85,22.78,23.02,22.7,0.0,0.0,0.0,3248.0,3451.0,2018-05-25T15:00:29.387Z,0.0,90.05,90.66,100.0,92.2,0.0,0.0,0.0
0.0,22.9,22.87,23.11,22.8,0.0,0.0,0.0,3248.0,3452.0,2018-05-25T13:30:11.377Z,0.0,90.1,90.73,100.0,92.3,0.0,0.0,0.0
0.0,23.3,23.24,23.48,23.2,0.0,0.0,0.0,3250.0,3454.0,2018-05-25T08:58:35.615Z,0.0,90.3,90.89,100.0,92.4,0.0,0.0,0.0
0.0,23.7,23.71,23.83,23.5,0.0,0.0,0.0,3251.0,3456.0,2018-05-25T04:29:04.432Z,0.0,90.1,90.42,100.0,92.2,0.0,0.0,0.0
0.0,22.9,22.88,22.9,22.6,0.0,0.0,0.0,3253.0,3456.0,2018-05-24T23:59:29.904Z,0.0,89.9,90.16,100.0,92.05,0.0,0.0,0.0
0.0,22.3,22.22,22.48,22.2,0.0,0.0,0.0,3247.0,3456.0,2018-05-24T19:27:53.496Z,0.0,90.3,91.11,100.0,92.4,0.0,0.0,0.0
0.0,22.7,22.58,22.85,22.6,0.0,0.0,0.0,3248.0,3458.0,2018-05-24T14:58:22.226Z,0.0,90.55,91.39,100.0,92.7,0.0,0.0,0.0
0.0,22.8,22.75,23.05,22.8,0.0,0.0,0.0,3248.0,3459.0,2018-05-24T13:28:09.793Z,0.0,90.6,91.49,100.0,92.7,0.0,0.0,0.0
0.0,23.5,23.54,23.72,23.45,0.0,0.0,0.0,3250.0,3461.0,2018-05-24T08:58:38.570Z,0.0,90.7,91.28,100.0,92.75,0.0,0.0,0.0
0.0,23.7,23.74,23.91,23.7,0.0,0.0,0.0,3251.0,3465.0,2018-05-24T04:29:03.831Z,0.0,90.7,91.38,100.0,92.7,0.0,0.0,0.0
0.0,23.2,23.22,23.18,22.9,0.0,0.0,0.0,3252.0,3464.0,2018-05-23T23:57:28.334Z,0.0,90.2,90.33,100.0,92.15,0.0,0.0,0.0
0.0,22.1,21.99,22.27,22.0,0.0,0.0,0.0,3256.0,3465.0,2018-05-23T19:27:57.014Z,0.0,90.7,91.79,100.0,92.8,0.0,0.0,0.0
0.0,22.45,22.41,22.65,22.4,0.0,0.0,0.0,3257.0,3467.0,2018-05-23T14:58:25.747Z,0.0,90.85,91.99,100.0,93.0,0.0,0.0,0.0
0.0,22.6,22.54,22.79,22.55,0.0,0.0,0.0,3257.0,3467.0,2018-05-23T13:30:17.448Z,0.0,90.9,92.0,100.0,93.0,0.0,0.0,0.0
0.0,22.95,22.94,23.21,22.95,0.0,0.0,0.0,3258.0,3469.0,2018-05-23T09:00:46.104Z,0.0,91.0,92.29,100.0,93.2,0.0,0.0,0.0
0.0,23.3,23.35,23.42,23.15,0.0,0.0,0.0,3262.0,3470.0,2018-05-23T04:31:14.914Z,0.0,90.8,91.42,100.0,92.75,0.0,0.0,0.0
0.0,22.4,22.39,22.42,22.1,0.0,0.0,0.0,3266.0,3470.0,2018-05-23T00:01:43.444Z,0.0,90.3,90.98,100.0,92.3,0.0,0.0,0.0
0.0,21.1,20.99,21.25,21.0,0.0,0.0,0.0,3268.0,3472.0,2018-05-22T19:32:08.711Z,0.0,90.5,92.14,100.0,92.8,0.0,0.0,0.0
0.0,20.95,20.91,21.09,20.8,0.0,0.0,0.0,3269.0,3472.0,2018-05-22T15:00:29.843Z,0.0,90.45,91.92,100.0,92.5,0.0,0.0,0.0
0.0,20.7,20.6,20.69,20.4,0.0,0.0,0.0,3269.0,3472.0,2018-05-22T13:27:14.508Z,0.0,90.4,91.58,100.0,92.4,0.0,0.0,0.0
0.0,21.1,20.97,21.44,21.2,0.0,0.0,0.0,3270.0,3475.0,2018-05-22T08:57:43.394Z,0.0,91.6,93.64,100.0,93.6,0.0,0.0,0.0
0.0,22.6,22.61,22.67,22.4,0.0,0.0,0.0,3272.0,3478.0,2018-05-22T04:28:12.271Z,0.0,90.9,92.11,100.0,93.2,0.0,0.0,0.0
