deltat_c_1,deltat_c_2,deltat_c_3,ip,scale1,scale2,scale3,starttemp_c_1,starttemp_c_2,starttemp_c_3,timestamp,vw_1,vw_2,vw_3
3.289,3.313,3.091,1330016,1554.0,1542.0,1562.0,24.41,25.4,24.31,2017-11-08T01:29:02.332Z,16.64,18.88,19.23
3.289,3.313,3.091,1330016,1554.0,1542.0,1562.0,24.41,25.4,24.31,2017-11-08T01:14:49.944Z,16.64,18.88,19.23
3.289,3.313,3.091,1330016,1554.0,1542.0,1562.0,24.41,25.4,24.31,2017-11-08T01:00:37.467Z,16.64,18.88,19.23
3.289,3.313,3.091,1330016,1554.0,1542.0,1562.0,24.41,25.4,24.31,2017-11-08T00:46:24.991Z,16.64,18.88,19.23
3.289,3.313,3.091,1330016,1554.0,1542.0,1562.0,24.41,25.4,24.31,2017-11-08T00:32:12.517Z,16.64,18.88,19.23
3.289,3.313,3.091,1330016,1554.0,1542.0,1562.0,24.41,25.4,24.31,2017-11-08T00:17:40.020Z,16.64,18.88,19.23
3.289,3.313,3.091,1330016,1554.0,1542.0,1562.0,24.41,25.4,24.31,2017-11-08T00:03:27.532Z,16.64,18.88,19.23
3.289,3.313,3.091,1330016,1554.0,1542.0,1562.0,24.41,25.4,24.31,2017-11-07T23:49:15.046Z,16.64,18.88,19.23
3.289,3.313,3.091,1330016,1554.0,1542.0,1562.0,24.41,25.4,24.31,2017-11-07T23:35:02.563Z,16.64,18.88,19.23
3.289,3.313,3.091,1330016,1554.0,1542.0,1562.0,24.41,25.4,24.31,2017-11-07T23:20:50.084Z,16.64,18.88,19.23
3.289,3.313,3.091,1330016,1554.0,1542.0,1562.0,24.41,25.4,24.31,2017-11-07T23:06:37.591Z,16.64,18.88,19.23
3.289,3.313,3.091,1330016,1554.0,1542.0,1562.0,24.41,25.4,24.31,2017-11-07T22:52:25.096Z,16.64,18.88,19.23
3.289,3.313,3.091,1330016,1554.0,1542.0,1562.0,24.41,25.4,24.31,2017-11-07T22:38:12.604Z,16.64,18.88,19.23
3.289,3.313,3.091,1330016,1554.0,1542.0,1562.0,24.41,25.4,24.31,2017-11-07T22:23:30.080Z,16.64,18.88,19.23
3.289,3.313,3.091,1330016,1554.0,1542.0,1562.0,24.41,25.4,24.31,2017-11-07T22:09:17.590Z,16.64,18.88,19.23
3.289,3.313,3.091,1330016,1554.0,1542.0,1562.0,24.41,25.4,24.31,2017-11-07T21:55:05.084Z,16.64,18.88,19.23
3.289,3.313,3.091,1330016,1554.0,1542.0,1562.0,24.41,25.4,24.31,2017-11-07T21:40:32.575Z,16.64,18.88,19.23
3.289,3.313,3.091,1330016,1554.0,1542.0,1562.0,24.41,25.4,24.31,2017-11-07T21:26:20.078Z,16.64,18.88,19.23
3.289,3.313,3.091,1330016,1554.0,1542.0,1562.0,24.41,25.4,24.31,2017-11-07T21:12:07.579Z,16.64,18.88,19.23
3.289,3.313,3.091,1330016,1554.0,1542.0,1562.0,24.41,25.4,24.31,2017-11-07T20:57:55.080Z,16.64,18.88,19.23
3.289,3.313,3.091,1330016,1554.0,1542.0,1562.0,24.41,25.4,24.31,2017-11-07T20:43:42.573Z,16.64,18.88,19.23
3.289,3.313,3.091,1330016,1554.0,1542.0,1562.0,24.41,25.4,24.31,2017-11-07T20:29:20.069Z,16.64,18.88,19.23
3.289,3.313,3.091,1330016,1554.0,1542.0,1562.0,24.41,25.4,24.31,2017-11-07T20:14:57.566Z,16.64,18.88,19.23
3.289,3.313,3.091,1330016,1554.0,1542.0,1562.0,24.41,25.4,24.31,2017-11-07T20:00:45.073Z,16.64,18.88,19.23
3.289,3.313,3.091,1330016,1554.0,1542.0,1562.0,24.41,25.4,24.31,2017-11-07T19:46:22.570Z,16.64,18.88,19.23
3.289,3.313,3.091,1330016,1554.0,1542.0,1562.0,24.41,25.4,24.31,2017-11-07T19:32:00.099Z,16.64,18.88,19.23
3.289,3.313,3.091,1330016,1554.0,1542.0,1562.0,24.41,25.4,24.31,2017-11-07T19:17:47.577Z,16.64,18.88,19.23
3.289,3.313,3.091,1330016,1554.0,1542.0,1562.0,24.41,25.4,24.31,2017-11-07T19:03:25.072Z,16.64,18.88,19.23
3.289,3.313,3.091,1330016,1554.0,1542.0,1562.0,24.41,25.4,24.31,2017-11-07T18:49:02.578Z,16.64,18.88,19.23
