aet,batt,dlyrainmm,ip,ir_down,ir_up,lt,mo_soil,p,pet,rainmm,rh,rh_box_6,rh_box_7,tc,temp_soil,date_time,tp_box_6,tp_box_7,uv_down,uv_up,vis_down,vis_up,wddir,wddiravg2m,wdgstdir,wdgstdir10m,wdgstkph,wdgstkph10m,wdspdkph,wdspdkphavg2m
0.0,4.19,5.59,0.0,1299.29,442.14,0.19,0.0,101186.5,0.0,5.59,73.4,22.2,21.1,22.5,0.0,2017-10-08T22:25:24.429Z,24.1,24.4,75.0,12.57,396.43,280.86,0.0,13.0,225.0,225.0,2.0,2.0,0.8,0.5
0.0,4.16,5.59,0.0,2025.14,567.71,0.19,0.0,101199.25,0.0,5.59,72.0,22.3,21.1,22.4,0.0,2017-10-08T21:45:27.025Z,23.0,23.4,120.0,19.14,481.0,292.86,0.0,15.0,225.0,225.0,2.0,2.0,0.4,0.5
0.0,4.13,5.59,0.0,656.86,312.43,0.15,0.0,101206.25,0.0,5.59,74.1,22.0,21.1,22.1,0.0,2017-10-08T21:05:29.800Z,22.5,22.5,31.0,5.14,315.14,266.43,270.0,16.0,225.0,225.0,2.0,2.0,1.8,0.5
0.0,4.08,5.59,0.0,346.43,268.71,0.05,0.0,101187.5,0.0,5.59,79.8,21.9,21.0,21.2,0.0,2017-10-08T20:25:32.599Z,22.6,22.7,9.86,2.71,274.43,261.71,23.0,18.0,225.0,225.0,2.0,2.0,2.0,0.4
0.0,4.06,5.59,0.0,256.29,253.57,0.0,0.0,101171.25,0.0,5.59,77.1,21.8,21.0,21.6,0.0,2017-10-08T19:45:35.291Z,22.6,22.8,1.86,2.0,260.71,260.57,315.0,16.0,225.0,225.0,2.0,2.0,1.7,0.4
0.0,4.17,5.59,0.0,253.29,252.86,0.0,0.0,101127.0,0.0,5.59,77.6,21.9,20.9,21.5,0.0,2017-10-08T19:05:38.087Z,22.6,22.7,1.86,2.0,261.0,261.0,90.0,17.0,225.0,225.0,2.0,2.0,0.9,0.4
0.0,4.17,5.59,0.0,253.14,252.86,0.0,0.0,101161.0,0.0,5.59,77.0,21.8,20.9,21.6,0.0,2017-10-08T18:25:40.780Z,22.5,22.6,1.86,2.0,260.43,260.14,0.0,18.0,225.0,225.0,2.0,2.0,1.3,0.4
0.0,4.03,5.59,0.0,253.0,252.57,0.0,0.0,101103.5,0.0,5.59,78.9,21.8,20.9,21.5,0.0,2017-10-08T17:45:43.580Z,22.3,22.5,1.86,2.14,259.86,260.43,0.0,24.0,225.0,225.0,2.0,2.0,1.9,0.4
0.0,4.06,5.59,0.0,253.43,252.71,0.0,0.0,101112.0,0.0,5.59,79.0,21.7,20.9,21.4,0.0,2017-10-08T17:05:46.376Z,22.2,22.4,2.14,2.0,260.71,260.29,0.0,25.0,225.0,225.0,2.0,2.0,1.4,0.3
0.0,4.17,5.59,0.0,253.43,253.0,0.0,0.0,101096.5,0.0,5.59,81.3,21.7,20.9,21.2,0.0,2017-10-08T16:25:49.069Z,22.1,22.2,2.0,1.86,260.29,261.0,45.0,30.0,225.0,225.0,2.0,2.0,0.0,0.3
0.0,4.09,5.59,0.0,252.86,253.29,0.0,0.0,101181.5,0.0,5.59,80.5,21.8,20.9,21.1,0.0,2017-10-08T15:45:51.866Z,21.8,21.9,2.14,1.57,260.14,260.57,315.0,29.0,225.0,225.0,2.0,2.0,1.7,0.3
0.0,4.17,5.59,0.0,252.86,253.14,0.0,0.0,101188.5,0.0,5.59,81.0,21.9,20.9,20.8,0.0,2017-10-08T15:05:54.665Z,21.8,22.0,1.57,2.0,260.71,261.14,45.0,32.0,225.0,225.0,2.0,2.0,0.7,0.3
0.0,4.17,5.59,0.0,253.0,253.29,0.0,0.0,101249.75,0.0,5.59,80.8,22.0,21.0,20.9,0.0,2017-10-08T14:25:57.462Z,21.8,22.0,1.86,1.86,261.0,260.14,0.0,34.0,225.0,225.0,2.0,2.0,0.7,0.3
0.0,4.17,5.59,0.0,253.29,252.71,0.0,0.0,101276.5,0.0,5.59,80.6,22.0,21.0,20.8,0.0,2017-10-08T13:46:00.157Z,21.8,22.0,1.71,2.43,260.71,260.57,45.0,37.0,225.0,225.0,2.0,2.0,1.6,0.3
0.0,4.06,5.59,0.0,252.57,252.71,0.0,0.0,101295.0,0.0,5.59,80.3,22.1,21.1,20.9,0.0,2017-10-08T13:06:02.946Z,22.0,22.2,2.14,1.86,260.43,259.57,45.0,41.0,225.0,225.0,2.0,2.0,1.7,0.3
0.0,4.04,5.59,0.0,253.57,253.43,0.0,0.0,101345.25,0.0,5.59,78.2,22.1,21.1,21.1,0.0,2017-10-08T12:26:05.755Z,22.3,22.4,2.0,1.71,260.0,261.0,0.0,30.0,225.0,225.0,2.0,2.0,1.6,0.3
0.0,4.17,5.59,0.0,252.86,253.57,0.0,0.0,101354.25,0.0,5.59,77.3,22.2,21.2,21.3,0.0,2017-10-08T11:46:08.546Z,22.5,22.7,2.0,2.0,260.0,260.0,135.0,43.0,225.0,225.0,2.0,2.0,1.0,0.3
0.0,4.17,5.59,0.0,253.29,253.43,0.0,0.0,101399.75,0.0,5.59,75.5,22.4,21.5,21.6,0.0,2017-10-08T11:06:11.342Z,23.1,23.3,2.0,1.71,260.71,260.43,45.0,43.0,225.0,225.0,2.0,2.0,1.3,0.3
0.0,4.08,5.59,0.0,253.14,253.29,0.0,0.0,101427.25,0.0,5.59,72.8,22.6,21.6,22.0,0.0,2017-10-08T10:26:14.041Z,23.4,23.6,1.86,1.71,260.29,260.57,270.0,350.0,225.0,225.0,2.0,2.0,0.1,0.3
0.0,4.17,5.59,0.0,253.14,253.0,0.0,0.0,101396.75,0.0,5.59,70.4,22.7,21.8,22.2,0.0,2017-10-08T09:46:16.834Z,23.8,23.8,2.0,2.0,260.29,259.86,45.0,347.0,225.0,225.0,2.0,2.0,0.6,0.3
0.0,4.17,5.59,0.0,253.0,253.57,0.0,0.0,101375.5,0.0,5.59,67.0,22.9,22.0,22.4,0.0,2017-10-08T09:06:19.524Z,24.2,24.3,2.29,1.86,260.14,260.0,0.0,345.0,225.0,225.0,2.0,2.0,0.3,0.3
0.0,4.17,5.59,0.0,277.43,257.57,0.0,0.0,101350.25,0.0,5.59,69.8,23.2,22.1,22.6,0.0,2017-10-08T08:26:22.259Z,24.9,25.0,3.86,2.14,265.14,261.57,0.0,350.0,225.0,225.0,2.0,2.0,0.8,0.3
0.0,4.17,5.59,0.0,1414.71,524.0,0.0,0.0,101307.5,0.0,5.59,65.5,23.1,22.1,23.1,0.0,2017-10-08T07:46:25.010Z,26.8,27.0,90.14,17.86,424.86,290.14,90.0,284.0,225.0,225.0,2.0,2.0,0.6,0.3
0.0,4.16,5.59,0.0,2116.14,593.71,0.18,0.0,101261.0,0.0,5.59,63.6,23.2,22.2,23.3,0.0,2017-10-08T07:06:27.704Z,27.7,27.9,128.14,20.71,496.71,295.29,0.0,278.0,225.0,225.0,2.0,2.0,1.1,0.3
