aet,batt,dlyrainmm,ip,ir_down,ir_up,lt,mo_soil,p,pet,rainmm,rh,rh_box_45,rh_box_47,tc,temp_soil,date_time,tp_box_45,tp_box_47,uv_down,uv_up,vis_down,vis_up,wddir,wddiravg2m,wdgstdir,wdgstdir10m,wdgstkph,wdgstkph10m,wdspdkph,wdspdkphavg2m
0.0,4.11,0.0,0.0,253.14,253.0,3.27,0.0,100844.25,0.0,0.0,108.4,18.1,18.5,24.3,0.0,2017-10-09T12:42:39.637Z,23.3,23.7,2.0,2.14,259.71,260.71,225.0,256.0,180.0,180.0,1.0,1.0,0.1,0.0
0.0,4.1,0.0,0.0,252.86,252.71,3.27,0.0,100851.0,0.0,0.0,108.1,18.1,18.5,24.5,0.0,2017-10-09T12:22:40.745Z,23.5,23.9,2.29,2.14,259.57,260.29,225.0,258.0,180.0,180.0,1.0,1.0,0.4,0.0
0.0,4.11,0.0,0.0,253.14,252.71,3.27,0.0,100839.75,0.0,0.0,106.7,18.1,18.5,24.6,0.0,2017-10-09T12:02:42.240Z,23.7,24.0,2.29,2.43,259.71,260.0,315.0,259.0,180.0,180.0,1.0,1.0,0.1,0.0
0.0,4.08,0.0,0.0,252.57,253.0,3.27,0.0,100843.5,0.0,0.0,106.6,18.2,18.6,24.8,0.0,2017-10-09T11:42:42.966Z,24.1,24.4,2.0,2.14,259.71,260.14,135.0,75.0,180.0,180.0,1.0,1.0,0.6,0.0
0.0,4.1,0.0,0.0,252.86,252.57,3.27,0.0,100812.75,0.0,0.0,103.1,18.2,18.6,25.0,0.0,2017-10-09T11:22:44.063Z,24.2,24.5,2.0,2.29,260.29,260.57,45.0,74.0,180.0,180.0,1.0,1.0,0.9,0.0
0.0,4.1,0.0,0.0,253.0,253.0,3.27,0.0,100812.75,0.0,0.0,101.7,18.3,18.6,24.9,0.0,2017-10-09T11:02:45.162Z,24.4,24.7,2.0,2.29,260.0,259.86,135.0,72.0,180.0,180.0,1.0,1.0,0.9,0.0
0.0,4.1,0.0,0.0,253.0,253.14,3.27,0.0,100794.0,0.0,0.0,103.2,18.2,18.7,25.1,0.0,2017-10-09T10:42:46.261Z,24.5,24.9,2.0,2.14,259.86,260.0,180.0,70.0,180.0,180.0,1.0,1.0,1.0,0.0
0.0,4.1,0.0,0.0,253.14,253.14,3.27,0.0,100791.75,0.0,0.0,104.4,18.3,18.7,25.2,0.0,2017-10-09T10:22:47.373Z,24.7,25.0,2.14,2.14,259.57,260.43,135.0,68.0,180.0,180.0,1.0,1.0,0.7,0.0
0.0,4.12,0.0,0.0,252.71,253.43,3.28,0.0,100770.25,0.0,0.0,104.3,18.5,18.8,25.3,0.0,2017-10-09T10:02:48.463Z,24.9,25.2,2.0,2.14,259.86,260.0,158.0,65.0,180.0,180.0,1.0,1.0,0.6,0.0
0.0,4.1,0.0,0.0,253.29,252.86,3.27,0.0,100751.5,0.0,0.0,106.1,18.5,18.9,25.1,0.0,2017-10-09T09:42:49.563Z,25.0,25.3,1.86,2.43,260.0,260.71,135.0,63.0,180.0,180.0,1.0,1.0,0.8,0.0
