evap,ip,mo0,mo1,mo10,mo11,mo12,mo13,mo14,mo15,mo2,mo3,mo4,mo5,mo6,mo7,mo8,mo9,t26_begin,t26_peak,t45_begin,t45_peak,t57_begin,t57_peak,t7b_begin,t7b_peak,te2_begin,te2_peak,tfb_begin,tfb_peak,timestamp
0.0,0.0,468.0,349.29,471.0,304.86,692.29,499.29,687.0,10.29,292.71,646.43,349.86,933.14,623.43,378.0,17.57,322.0,26.94,30.0,26.19,29.87,25.56,29.31,25.62,28.12,27.5,30.37,25.31,28.69,2017-10-10T23:46:18.644Z
0.0,0.0,459.14,343.0,471.14,307.29,689.0,501.43,684.14,9.0,294.14,642.71,343.71,929.0,622.29,383.57,16.14,323.57,25.5,28.69,25.06,28.44,24.75,28.5,25.12,27.81,26.31,29.25,24.62,28.06,2017-10-10T23:12:44.770Z
0.0,0.0,459.57,349.14,482.0,320.29,689.43,508.43,684.0,8.71,292.0,650.86,349.71,931.71,630.57,375.86,15.57,319.43,25.0,28.25,24.31,28.12,24.12,28.0,24.75,27.56,25.37,28.44,24.19,27.81,2017-10-10T22:39:11.097Z
0.0,0.0,455.0,349.29,485.57,327.57,687.71,514.71,682.57,8.14,292.0,651.29,349.71,930.0,632.57,375.14,15.29,319.0,23.75,26.87,23.5,27.19,23.56,27.31,24.5,27.12,24.25,27.25,23.75,27.25,2017-10-10T22:05:37.540Z
0.0,0.0,452.29,349.0,491.14,334.57,689.29,518.0,684.14,8.29,292.29,653.0,349.86,929.29,634.86,375.0,15.14,318.86,22.56,25.81,22.94,26.62,23.12,26.94,24.31,27.0,23.56,26.5,23.44,27.0,2017-10-10T21:32:03.872Z
0.0,0.0,451.86,346.0,492.29,337.29,690.0,520.29,684.43,8.14,292.0,654.57,347.71,931.29,638.0,375.43,15.43,319.86,21.87,25.06,22.62,26.25,23.0,26.75,24.31,27.0,23.19,26.12,23.37,26.87,2017-10-10T20:58:30.310Z
0.0,0.0,450.14,348.14,494.71,339.29,690.57,522.14,684.71,9.0,292.86,655.29,349.86,930.43,636.71,380.0,16.0,320.86,21.69,24.81,22.56,26.19,23.0,26.69,24.44,27.06,23.06,26.0,23.44,26.94,2017-10-10T20:24:56.849Z
0.0,0.0,449.57,345.43,493.86,339.43,691.29,523.86,686.0,9.86,292.0,656.71,349.71,930.86,638.43,376.57,16.14,320.43,21.62,24.69,22.56,26.12,23.06,26.75,24.56,27.12,23.06,25.94,23.56,26.94,2017-10-10T19:51:23.179Z
0.0,0.0,449.43,346.43,496.43,340.71,696.43,529.71,690.43,14.14,292.0,655.0,348.71,931.0,637.57,383.71,22.0,328.0,21.56,24.69,22.62,26.19,23.19,26.81,24.69,27.31,23.06,25.81,23.69,27.12,2017-10-10T19:17:49.618Z
0.0,0.0,449.14,345.0,497.43,342.71,693.57,526.43,687.57,11.0,292.43,656.0,350.0,931.43,640.14,378.57,18.43,323.43,21.56,24.56,22.69,26.12,23.31,26.81,24.87,27.37,23.06,25.81,23.81,27.19,2017-10-10T18:44:16.055Z
0.0,0.0,450.57,345.86,499.0,344.57,695.86,530.43,690.57,13.14,292.29,659.43,343.57,933.29,642.57,382.0,20.86,326.29,21.44,24.5,22.75,26.31,23.44,27.06,25.12,27.69,23.06,25.75,24.0,27.5,2017-10-10T18:10:42.388Z
0.0,0.0,448.57,344.86,499.43,346.71,697.57,533.0,691.71,14.43,292.0,659.43,350.0,934.14,643.0,383.71,22.29,328.29,21.31,24.19,22.94,26.37,23.69,27.25,25.44,28.0,23.19,25.81,24.31,27.69,2017-10-10T17:37:08.831Z
0.0,0.0,449.57,344.0,499.14,344.57,697.71,531.43,692.29,15.0,292.43,660.57,349.86,935.86,643.14,380.86,20.29,327.71,21.5,24.44,23.25,26.81,24.06,27.75,25.75,28.31,23.56,26.25,24.69,28.06,2017-10-10T17:03:35.161Z
0.0,0.0,450.86,345.14,494.71,337.71,693.71,522.86,688.0,10.29,293.86,661.71,349.86,939.86,643.71,376.43,18.0,325.14,21.87,24.87,23.69,27.12,24.44,28.06,26.19,28.69,23.94,26.69,25.06,28.44,2017-10-10T16:30:01.504Z
0.0,0.0,452.0,344.71,497.0,338.43,695.29,522.29,689.71,11.57,292.14,663.29,350.0,942.43,642.71,378.14,19.14,323.43,22.31,25.19,24.06,27.5,24.87,28.44,26.56,29.06,24.31,27.06,25.5,28.75,2017-10-10T15:56:27.925Z
0.0,0.0,453.43,345.86,498.43,337.86,695.57,522.29,690.29,11.71,292.86,663.29,350.0,941.71,642.0,380.0,19.43,324.71,22.62,25.44,24.44,27.87,25.25,28.81,26.94,29.44,24.62,27.25,25.87,29.19,2017-10-10T15:22:54.366Z
0.0,0.0,457.29,342.0,492.71,331.29,694.0,504.0,688.43,10.14,295.43,656.29,343.86,936.29,643.43,379.29,17.43,326.0,23.0,26.06,24.81,28.37,25.62,29.25,27.44,30.0,25.06,27.87,26.31,29.75,2017-10-10T14:49:20.781Z
0.0,0.0,458.14,345.86,498.0,333.71,702.71,530.14,697.14,18.0,293.0,667.43,350.0,949.57,644.14,386.57,25.57,333.0,23.37,26.31,25.44,28.87,26.31,29.87,28.0,30.56,25.56,28.25,26.94,30.37,2017-10-10T14:03:00.947Z
0.0,0.0,460.29,345.86,497.86,331.71,697.29,516.43,691.57,13.0,292.43,667.57,349.86,950.86,644.14,379.29,20.57,326.29,23.75,26.69,25.94,29.37,26.81,30.44,28.5,31.06,26.0,28.69,27.44,30.87,2017-10-10T13:29:26.396Z
0.0,0.0,463.43,346.14,498.43,330.86,701.57,520.14,696.43,16.14,292.14,671.0,349.86,954.0,646.0,380.43,23.86,331.0,24.25,27.12,26.44,29.75,27.37,30.87,29.0,31.5,26.44,29.19,28.0,31.31,2017-10-10T12:55:52.837Z
0.0,0.0,466.43,346.43,498.57,329.29,698.14,517.14,692.86,13.0,292.57,673.0,350.0,956.86,646.86,378.29,20.71,326.0,24.56,27.56,27.06,30.44,28.0,31.5,29.62,32.06,27.0,29.69,28.62,32.0,2017-10-10T12:22:19.263Z
0.0,0.0,470.57,346.71,499.71,328.43,699.29,517.0,693.86,13.86,292.43,673.57,349.57,958.86,646.29,377.86,20.14,327.14,25.06,28.06,27.75,31.19,28.69,32.31,30.25,32.81,27.62,30.44,29.31,32.75,2017-10-10T11:48:45.725Z
0.0,0.0,477.86,346.71,500.14,326.43,698.71,514.0,693.57,13.0,292.14,676.14,348.29,963.71,647.29,378.71,21.0,325.43,25.62,28.5,28.56,31.94,29.5,33.13,30.94,33.38,28.37,31.06,30.12,33.5,2017-10-10T11:15:12.140Z
0.0,0.0,486.0,346.71,500.0,325.0,703.71,518.14,698.14,17.14,292.57,679.0,349.86,967.29,648.71,384.14,26.0,332.57,26.37,29.0,29.5,32.75,30.44,33.88,31.75,34.06,29.31,31.81,31.0,34.19,2017-10-10T10:41:38.573Z
0.0,0.0,495.14,346.43,502.57,324.57,704.57,516.43,699.0,16.86,292.71,682.86,349.86,971.71,650.71,385.0,26.14,333.43,27.19,29.87,30.62,33.69,31.5,34.69,32.56,34.88,30.44,32.94,32.0,35.06,2017-10-10T10:08:05.073Z
0.0,0.0,496.86,345.57,502.0,321.29,707.0,514.57,701.14,17.86,293.0,687.43,350.43,977.71,652.14,386.14,27.57,334.29,28.25,31.0,32.06,35.25,32.81,36.25,33.56,36.06,31.87,34.38,33.13,36.31,2017-10-10T09:34:31.351Z
