aet,batt,dlyrainmm,ip,ir_down,ir_up,lt,mo_soil,p,pet,rainmm,rh,rh_box_45,rh_box_47,tc,temp_soil,timestamp,tp_box_45,tp_box_47,uv_down,uv_up,vis_down,vis_up,wddir,wddiravg2m,wdgstdir,wdgstdir10m,wdgstkph,wdgstkph10m,wdspdkph,wdspdkphavg2m
0.0,4.09,0.28,0.0,596.43,3510.29,3.27,0.0,101697.25,0.0,0.28,-6.0,47.7,50.0,26.4,0.0,2018-04-11T04:02:26.288Z,31.0,31.2,21.71,232.71,297.14,691.43,270.0,222.0,225.0,225.0,1.0,1.0,1.0,0.0
0.0,4.09,0.28,0.0,1881.43,15774.71,3.27,0.0,101714.25,0.0,0.28,-6.0,47.3,49.6,26.8,0.0,2018-04-11T03:42:27.389Z,30.8,30.9,84.14,995.71,413.14,2115.14,338.0,218.0,225.0,225.0,1.0,1.0,0.3,0.0
0.0,4.09,0.28,0.0,707.86,4188.0,3.26,0.0,101738.5,0.0,0.28,-6.0,46.7,48.6,26.4,0.0,2018-04-11T03:22:28.511Z,31.3,31.6,26.57,268.57,306.29,758.29,180.0,213.0,225.0,225.0,1.0,1.0,0.9,0.0
0.0,4.09,0.28,0.0,631.0,3671.86,3.27,0.0,101741.5,0.0,0.28,-6.0,46.7,48.3,27.0,0.0,2018-04-11T03:02:30.663Z,31.2,31.6,23.0,245.14,299.86,715.57,270.0,210.0,225.0,225.0,1.0,1.0,0.6,0.0
0.0,4.09,0.28,0.0,1890.86,16716.72,3.27,0.0,101751.5,0.0,0.28,-6.0,47.6,48.7,27.5,0.0,2018-04-11T02:42:30.699Z,29.9,30.5,84.71,1056.43,415.0,2228.71,180.0,205.0,225.0,225.0,1.0,1.0,0.9,0.0
0.0,4.1,0.28,0.0,2097.29,18730.86,3.26,0.0,101795.5,0.0,0.28,-6.0,47.4,48.5,26.9,0.0,2018-04-11T02:22:31.789Z,29.3,30.0,94.71,1188.14,433.57,2474.29,270.0,201.0,225.0,225.0,1.0,1.0,0.8,0.0
0.0,4.09,0.28,0.0,2277.86,11913.71,3.27,0.0,101809.25,0.0,0.28,-6.0,47.0,48.2,27.2,0.0,2018-04-11T02:02:32.895Z,29.0,29.5,103.0,778.86,447.43,1722.0,0.0,198.0,225.0,225.0,1.0,1.0,0.8,0.0
0.0,4.1,0.28,0.0,2040.29,19080.43,3.26,0.0,101843.0,0.0,0.28,-6.0,46.7,47.6,26.8,0.0,2018-04-11T01:42:34.515Z,29.1,29.8,91.43,1206.14,428.0,2508.71,248.0,199.0,225.0,225.0,1.0,1.0,0.8,0.0
0.0,4.09,0.28,0.0,1964.43,18534.43,3.27,0.0,101858.75,0.0,0.28,-6.0,45.6,45.7,26.3,0.0,2018-04-11T01:22:35.101Z,28.8,29.9,87.0,1168.29,420.0,2437.86,225.0,201.0,225.0,225.0,1.0,1.0,0.7,0.0
0.0,4.1,0.28,0.0,1918.43,18280.57,3.26,0.0,101877.75,0.0,0.28,-6.0,45.4,45.9,26.6,0.0,2018-04-11T01:02:36.195Z,28.2,29.0,85.57,1143.29,416.29,2391.57,270.0,204.0,225.0,225.0,1.0,1.0,0.9,0.0
0.0,4.1,0.28,0.0,545.0,3177.71,3.27,0.0,101891.25,0.0,0.28,-6.0,44.8,45.2,26.1,0.0,2018-04-11T00:42:37.290Z,28.1,28.8,19.14,211.71,292.57,653.57,248.0,206.0,225.0,225.0,1.0,1.0,1.0,0.0
0.0,4.09,0.28,0.0,1367.43,19004.57,3.26,0.0,101897.0,0.0,0.28,-6.0,44.0,43.9,26.0,0.0,2018-04-11T00:22:38.396Z,28.3,29.4,59.57,1168.71,369.86,2442.86,270.0,208.0,225.0,225.0,1.0,1.0,1.0,0.0
0.0,4.1,0.28,0.0,1825.14,17044.72,3.26,0.0,101892.0,0.0,0.28,-6.0,44.6,44.4,26.1,0.0,2018-04-11T00:02:39.515Z,27.3,28.4,81.14,1055.0,408.14,2227.43,270.0,210.0,225.0,225.0,1.0,1.0,0.1,0.0
0.0,4.1,0.28,0.0,824.0,5621.14,3.27,0.0,101888.5,0.0,0.28,-6.0,45.0,45.2,24.9,0.0,2018-04-10T23:42:40.622Z,26.1,26.9,32.14,360.0,317.43,929.0,225.0,211.0,225.0,225.0,1.0,1.0,0.7,0.0
0.0,4.1,0.28,0.0,1787.29,16394.57,3.27,0.0,101922.25,0.0,0.28,-6.0,45.3,45.4,24.6,0.0,2018-04-10T23:22:41.743Z,25.4,26.2,78.71,1004.71,403.86,2132.86,225.0,214.0,315.0,315.0,1.0,1.0,0.5,0.0
0.0,4.1,0.28,0.0,1215.71,9016.29,3.27,0.0,101920.75,0.0,0.28,-6.0,45.5,45.7,24.4,0.0,2018-04-10T23:02:42.869Z,24.9,25.7,51.43,568.0,352.57,1315.86,270.0,214.0,315.0,315.0,1.0,1.0,0.0,0.0
0.0,4.08,0.28,0.0,1512.71,14976.71,3.26,0.0,101904.5,0.0,0.28,-6.0,45.5,45.4,25.2,0.0,2018-04-10T22:42:44.021Z,24.5,25.5,64.43,918.14,377.57,1971.86,315.0,215.0,315.0,315.0,1.0,1.0,0.4,0.0
0.0,4.1,0.28,0.0,1293.57,10516.43,3.26,0.0,101878.0,0.0,0.28,-6.0,45.5,45.5,24.3,0.0,2018-04-10T22:22:46.179Z,23.8,24.8,53.71,639.29,357.57,1441.57,225.0,216.0,315.0,315.0,1.0,1.0,1.0,0.0
0.0,4.1,0.28,0.0,899.86,7995.14,3.27,0.0,101868.0,0.0,0.28,-6.0,48.1,48.0,24.3,0.0,2018-04-10T22:02:46.249Z,21.6,22.6,34.43,472.71,321.29,1140.71,315.0,218.0,315.0,315.0,1.0,1.0,0.2,0.0
0.0,4.1,0.28,0.0,811.71,7582.29,3.27,0.0,101838.25,0.0,0.28,-6.0,49.6,50.3,23.9,0.0,2018-04-10T21:42:47.381Z,20.3,21.0,28.71,428.29,311.0,1056.29,180.0,358.0,315.0,315.0,1.0,1.0,0.5,0.0
0.0,4.09,0.28,0.0,513.71,2046.0,3.27,0.0,101805.5,0.0,0.28,-6.0,50.0,51.0,22.3,0.0,2018-04-10T21:22:48.514Z,19.8,20.3,15.57,125.57,285.14,492.0,135.0,355.0,315.0,315.0,1.0,1.0,0.6,0.0
0.0,4.11,0.28,0.0,518.86,4554.29,3.26,0.0,101782.0,0.0,0.28,-6.0,50.0,51.1,21.7,0.0,2018-04-10T21:02:49.669Z,19.6,20.1,13.86,230.14,282.71,686.86,315.0,226.0,315.0,315.0,1.0,1.0,0.4,0.0
0.0,4.11,0.28,0.0,285.86,586.29,3.27,0.0,101759.75,0.0,0.28,-6.0,49.7,51.1,21.2,0.0,2018-04-10T20:42:50.823Z,19.7,20.1,3.86,25.57,264.86,303.71,315.0,226.0,315.0,315.0,1.0,1.0,0.3,0.0
0.0,4.1,0.28,0.0,259.14,308.43,3.27,0.0,101746.75,0.0,0.28,-6.0,49.9,51.2,21.2,0.0,2018-04-10T20:22:51.974Z,19.8,20.2,2.0,6.0,261.14,268.0,90.0,343.0,315.0,315.0,1.0,1.0,0.9,0.0
0.0,4.11,0.28,0.0,253.71,255.14,3.27,0.0,101718.0,0.0,0.28,-6.0,49.9,51.3,21.1,0.0,2018-04-10T20:02:53.134Z,19.7,20.1,1.71,2.14,260.71,260.29,315.0,343.0,315.0,315.0,1.0,1.0,0.1,0.0
0.0,4.08,0.28,0.0,253.14,253.29,3.27,0.0,101702.0,0.0,0.28,-6.0,50.0,51.4,21.0,0.0,2018-04-10T19:42:54.317Z,19.8,20.2,2.14,2.14,261.0,259.71,315.0,344.0,315.0,315.0,1.0,1.0,0.4,0.0
0.0,4.1,0.28,0.0,253.0,253.57,3.27,0.0,101670.5,0.0,0.28,-6.0,50.3,51.4,21.1,0.0,2018-04-10T19:22:55.477Z,19.8,20.2,1.86,2.0,260.57,260.86,315.0,345.0,315.0,315.0,1.0,1.0,0.0,0.0
0.0,4.09,0.28,0.0,253.0,252.71,3.26,0.0,101660.75,0.0,0.28,-6.0,50.3,51.9,21.0,0.0,2018-04-10T19:02:56.620Z,19.8,20.0,1.71,2.29,260.29,260.0,270.0,346.0,315.0,315.0,1.0,1.0,0.9,0.0
0.0,4.09,0.28,0.0,253.14,252.86,3.27,0.0,101630.75,0.0,0.28,-6.0,50.3,52.0,20.9,0.0,2018-04-10T18:42:57.796Z,19.9,20.2,1.86,2.43,260.29,260.0,315.0,347.0,315.0,315.0,1.0,1.0,1.0,0.0
0.0,4.08,0.28,0.0,253.0,252.71,3.27,0.0,101614.5,0.0,0.28,-6.0,50.2,52.0,21.1,0.0,2018-04-10T18:22:58.950Z,20.1,20.3,2.0,2.29,260.71,260.14,315.0,348.0,338.0,338.0,1.0,1.0,0.6,0.0
