mo0,mo1,mo2,mo3,mo4,mo5,mo6,mo7,mo8,mo9,su0,su1,su2,su3,su4,su5,su6,su7,su8,su9,timestamp,tmp0,tmp1,tmp2,tmp3,tmp4,tmp5,tmp6,tmp7,tmp8,tmp9
281.0,307.2,280.2,274.0,273.2,282.0,276.0,276.6,291.0,279.0,0.0,0.0,0.0,0.0,0.0,26.13,9.440000000000001,9.369999999999997,10.310000000000002,12.819999999999997,2018-05-02T00:12:49.589Z,0.0,0.0,0.0,0.0,0.0,20.87,20.81,20.44,20.56,20.62
280.2,305.8,278.8,272.0,272.0,280.8,275.8,276.6,292.0,279.2,10.75,15.690000000000001,17.000000000000004,10.25,10.75,26.87,9.5,9.440000000000001,10.440000000000001,12.940000000000001,2018-05-01T22:59:48.857Z,19.37,18.69,18.31,18.31,18.69,18.94,19.06,19.25,19.5,19.37
278.8,305.4,278.4,271.6,271.4,281.2,274.6,274.6,289.4,277.6,10.809999999999999,15.819999999999997,17.060000000000002,10.130000000000003,10.809999999999999,27.320000000000004,9.620000000000001,9.43,10.440000000000001,12.940000000000001,2018-05-01T21:46:48.236Z,17.25,17.12,17.5,17.81,18.19,18.56,18.75,19.19,19.5,19.31
278.4,305.2,278.2,271.2,271.0,280.2,274.0,275.0,293.6,277.0,10.75,15.690000000000001,17.12,10.190000000000001,10.82,27.320000000000004,9.559999999999999,9.43,10.5,13.060000000000002,2018-05-01T20:33:47.716Z,16.69,17.06,17.69,18.06,18.37,18.81,19.0,19.44,19.69,19.5
278.2,305.0,278.0,271.6,271.6,280.2,275.2,275.6,290.2,278.6,10.75,15.629999999999999,17.12,10.25,10.75,27.189999999999998,9.559999999999999,9.440000000000001,10.5,13.010000000000002,2018-05-01T19:20:47.218Z,17.62,17.81,18.19,18.56,18.87,19.25,19.44,19.81,20.06,19.87
278.8,305.0,278.8,271.6,271.6,281.0,274.2,275.0,289.6,277.4,10.75,15.570000000000004,17.12,10.75,10.810000000000002,27.13,9.619999999999997,9.5,10.5,13.010000000000002,2018-05-01T18:07:46.625Z,17.87,18.06,18.44,18.75,19.06,19.56,19.69,20.06,20.31,20.12
279.0,305.0,278.2,272.8,272.8,280.4,275.6,275.0,289.8,277.8,10.75,15.629999999999999,17.130000000000003,11.07,10.809999999999999,27.070000000000004,9.559999999999999,9.439999999999998,10.440000000000001,13.000000000000004,2018-05-01T16:54:46.224Z,18.0,18.06,18.5,18.87,19.25,19.81,19.94,20.37,20.56,20.31
279.0,305.0,278.8,272.8,272.0,280.4,274.2,275.2,291.0,277.8,10.810000000000002,15.630000000000003,17.19,11.560000000000002,10.809999999999999,27.070000000000004,9.559999999999999,9.439999999999998,10.440000000000001,13.000000000000004,2018-05-01T15:41:45.670Z,17.81,18.0,18.56,19.06,19.5,20.06,20.25,20.62,20.81,20.56
279.0,305.0,278.2,272.0,271.8,281.0,274.6,275.2,290.0,277.8,10.75,15.760000000000002,17.250000000000004,12.25,10.75,27.130000000000003,9.57,9.440000000000001,10.43,13.010000000000002,2018-05-01T14:28:45.163Z,17.56,17.87,18.81,19.44,19.94,20.5,20.62,21.06,21.19,20.87
277.2,303.0,277.0,274.6,270.8,279.6,273.4,275.0,289.8,277.8,10.75,15.620000000000001,17.19,12.940000000000001,10.809999999999999,27.19,9.559999999999999,9.5,10.43,13.010000000000002,2018-05-01T13:44:05.651Z,17.62,18.19,19.19,19.81,20.25,20.81,20.94,21.31,21.44,21.12
277.8,303.0,278.0,271.2,270.8,281.0,274.8,274.2,289.0,276.6,10.82,15.630000000000003,17.19,13.129999999999999,10.75,27.060000000000002,9.560000000000002,9.439999999999998,10.440000000000001,12.940000000000001,2018-05-01T12:31:05.069Z,18.12,18.75,19.87,20.56,21.06,21.5,21.56,21.87,21.81,21.62
