dhthum0,dhttmp0,dp0,dp1,ec0,ec1,gstemp1,gstmp0,hum0,hum1,hum2,pre0,pre1,pretmp0,pretmp1,date_time,tmp0,tmp1,tmp10,tmp11,tmp12,tmp2,tmp4,tmp5,tmp6,tmp7,tmp8,tmp9,volt0
31.9,37.55,47.57,42.83,2700.0,3860.0,26.4,27.5,0.1,0.1,0.0,1066.4,1119.7,27.58,26.96,2018-04-11T02:43:09.374Z,27.79,27.58,1047.8,27.65,0.0,0.0,99.9,30.3,99.9,-40.0,0.0,0.0,0.0
31.1,37.2,47.35,42.27,2623.0,3851.0,25.1,27.0,0.1,0.1,0.0,1064.4,1116.3,26.15,26.43,2018-04-11T01:30:08.385Z,26.36,26.21,1049.7,25.74,0.0,0.0,99.9,29.3,99.9,-40.0,0.0,0.0,0.0
32.5,34.75,45.89,41.14,2575.0,3829.0,23.7,25.1,0.1,0.1,0.0,1060.4,1111.3,24.63,25.74,2018-04-11T00:17:06.445Z,24.65,24.5,1050.9,23.37,0.0,0.0,99.9,27.6,99.9,-40.0,0.0,0.0,0.0
35.6,30.5,43.91,40.3,2681.0,3806.0,22.8,22.6,0.1,0.1,0.0,1057.0,1107.1,23.56,25.0,2018-04-10T23:04:05.515Z,22.44,22.93,1050.8,21.93,0.0,0.0,99.9,25.2,99.9,-40.0,0.0,0.0,0.0
39.1,26.1,42.12,40.3,2811.0,3791.0,22.0,20.3,0.1,0.1,0.0,1052.1,1103.0,22.55,24.07,2018-04-10T21:51:04.684Z,20.6,21.67,1050.4,21.22,0.0,0.0,99.9,22.8,99.9,-40.0,0.0,0.0,0.0
40.7,21.5,41.58,40.19,2778.0,3711.0,22.0,19.5,0.1,0.1,0.0,1052.9,1101.7,22.21,23.35,2018-04-10T20:38:03.946Z,19.92,21.11,1049.8,21.05,0.0,0.0,99.9,21.95,99.9,-40.0,0.0,0.0,0.0
41.15,21.6,41.91,40.02,2782.0,3748.0,22.4,19.9,0.1,0.1,0.0,1053.4,1102.7,22.65,23.72,2018-04-10T19:25:03.298Z,20.28,21.54,1049.2,21.31,0.0,0.0,99.9,22.3,99.9,-40.0,0.0,0.0,0.0
42.05,21.3,42.48,40.17,2783.0,3742.0,23.0,20.4,0.1,0.1,0.0,1054.3,1104.2,23.19,24.19,2018-04-10T18:12:02.710Z,20.68,22.01,1048.6,21.68,0.0,0.0,99.9,22.7,99.9,-40.0,0.0,0.0,0.0
41.55,22.45,43.01,41.02,2772.0,3719.0,23.5,21.1,0.1,0.1,0.0,1054.9,1105.2,23.76,24.68,2018-04-10T16:59:02.151Z,21.28,22.58,1048.5,22.12,0.0,0.0,99.9,23.35,99.9,-40.0,0.0,0.0,0.0
41.6,23.1,43.37,41.19,2764.0,3739.0,24.3,21.6,0.1,0.1,0.0,1056.2,1107.1,24.38,25.17,2018-04-10T15:46:01.506Z,21.87,23.17,1049.3,22.43,0.0,0.0,99.9,23.9,99.9,-40.0,0.0,0.0,0.0
42.15,23.3,43.54,41.68,2749.0,3711.0,25.0,22.1,0.1,0.1,0.0,1056.7,1108.8,25.09,25.67,2018-04-10T14:33:00.665Z,22.47,23.88,1049.8,22.7,0.0,0.0,99.9,24.4,99.9,-40.0,0.0,0.0,0.0
41.95,24.25,43.84,41.87,2788.0,3750.0,25.5,22.3,0.1,0.1,0.0,1056.2,1109.7,25.76,26.07,2018-04-10T13:40:10.139Z,23.18,24.64,1049.8,23.13,0.0,0.0,99.9,25.0,99.9,-40.0,0.0,0.0,0.0
42.15,24.2,44.07,42.15,2860.0,3769.0,26.1,22.7,0.1,0.1,0.0,1057.0,1110.9,26.38,26.46,2018-04-10T12:27:09.475Z,23.72,25.27,1050.2,23.41,0.0,0.0,99.9,25.3,99.9,-40.0,0.0,0.0,0.0
42.8,24.7,44.76,42.6,2859.0,3756.0,26.8,23.4,0.1,0.1,0.0,1057.9,1113.1,27.15,26.92,2018-04-10T11:14:08.813Z,24.54,26.09,1049.8,23.86,0.0,0.0,99.9,26.0,99.9,-40.0,0.0,0.0,0.0
43.4,25.4,45.55,42.95,2873.0,3766.0,27.6,24.3,0.1,0.1,0.0,1059.8,1115.6,27.96,27.4,2018-04-10T10:01:08.201Z,25.58,27.01,1049.0,24.36,0.0,0.0,99.9,26.95,99.9,-40.0,0.0,0.0,0.0
44.25,26.2,46.5,43.42,2889.0,3780.0,28.5,25.5,0.1,0.1,0.0,1061.8,1119.2,28.87,27.89,2018-04-10T08:48:07.538Z,26.86,27.99,1048.5,24.91,0.0,0.0,99.9,28.2,99.9,-40.0,0.0,0.0,0.0
44.65,27.8,47.93,44.06,2892.0,3778.0,29.2,27.4,0.1,0.1,0.0,1065.1,1123.3,29.86,28.45,2018-04-10T07:35:06.777Z,28.51,29.14,1047.9,25.69,0.0,0.0,99.9,30.1,99.9,-40.0,0.0,0.0,0.0
39.8,33.9,49.62,44.55,2949.0,3793.0,29.7,29.4,0.1,0.1,0.0,1066.7,1126.2,30.59,28.91,2018-04-10T06:22:05.884Z,30.26,30.26,1023.0,27.87,0.0,0.0,99.9,32.2,99.9,-40.0,0.0,0.0,0.0
39.0,36.6,50.71,44.4,2970.0,3846.0,29.4,30.4,0.1,0.1,0.0,1068.0,1127.6,30.65,28.93,2018-04-10T05:09:04.972Z,31.15,30.64,1023.1,29.36,0.0,0.0,99.9,33.55,99.9,-40.0,0.0,0.0,0.0
31.7,42.4,50.93,43.46,3008.0,3844.0,28.4,30.0,0.1,0.1,0.0,1068.5,1125.6,29.86,28.46,2018-04-10T03:56:04.030Z,31.07,30.23,1023.5,31.54,0.0,0.0,99.9,33.8,99.9,-40.0,0.0,0.0,0.0
34.8,40.0,51.26,42.88,3046.0,3854.0,27.1,29.9,0.1,0.1,0.0,1067.3,1124.3,28.56,27.85,2018-04-10T02:43:03.026Z,29.33,28.62,1024.0,30.84,0.0,0.0,99.9,32.5,99.9,-40.0,0.0,0.0,0.0
30.75,41.0,50.42,42.43,3062.0,3885.0,25.2,28.7,0.1,0.1,0.0,1067.9,1119.5,26.5,26.92,2018-04-10T01:30:02.079Z,27.45,26.93,1025.3,30.6,0.0,0.0,99.9,31.0,99.9,-40.0,0.0,0.0,0.0
30.65,38.0,48.33,40.45,3063.0,3836.0,23.1,25.7,0.1,0.1,0.0,1061.5,1112.2,24.19,25.75,2018-04-10T00:17:00.058Z,24.49,24.27,1025.9,28.61,0.0,0.0,99.9,27.9,99.9,-40.0,0.0,0.0,0.0
34.4,31.1,45.27,40.08,3037.0,3812.0,21.7,21.8,0.1,0.1,0.0,1055.3,1105.6,22.44,24.49,2018-04-09T23:03:59.142Z,21.25,21.89,1025.4,24.84,0.0,0.0,99.9,24.0,99.9,-40.0,0.0,0.0,0.0
40.5,22.7,42.63,39.29,2993.0,3767.0,20.9,18.5,0.1,0.1,0.0,1051.2,1100.2,21.19,22.85,2018-04-09T21:50:58.315Z,18.71,20.12,1024.4,20.93,0.0,0.0,99.9,20.8,99.9,-40.0,0.0,0.0,0.0
40.5,19.2,41.96,39.45,2920.0,3731.0,21.0,17.8,0.1,0.1,0.0,1051.9,1099.4,21.11,22.32,2018-04-09T20:37:56.622Z,18.32,19.92,1023.3,18.58,0.0,0.0,99.9,20.2,99.9,-40.0,0.0,0.0,0.0
41.0,19.3,42.34,39.55,2898.0,3691.0,21.8,18.4,0.1,0.1,0.0,1052.3,1100.7,21.78,22.88,2018-04-09T19:24:56.119Z,18.92,20.56,1022.8,18.69,0.0,0.0,99.9,20.7,99.9,-40.0,0.0,0.0,0.0
41.05,19.7,42.71,39.87,2899.0,3728.0,22.4,19.1,0.1,0.1,0.0,1052.7,1101.8,22.53,23.48,2018-04-09T18:11:55.518Z,19.63,21.33,1021.9,19.08,0.0,0.0,99.9,21.4,99.9,-40.0,0.0,0.0,0.0
