mo0,mo1,mo2,mo3,mo4,mo5,mo6,mo7,mo8,mo9,su0,su1,su2,su3,su4,su5,su6,su7,su8,su9,timestamp,tmp0,tmp1,tmp2,tmp3,tmp4,tmp5,tmp6,tmp7,tmp8,tmp9
315.6,435.2,377.4,283.2,272.4,268.6,278.2,276.4,281.2,281.8,0.0,14.940000000000001,14.25,14.069999999999997,0.0,0.0,12.870000000000001,11.310000000000002,0.0,13.320000000000004,2018-05-24T11:11:55.924Z,20.44,16.31,17.31,19.12,19.56,-0.06,20.69,20.56,0.0,20.56
318.6,439.2,376.2,283.8,273.0,269.6,278.2,276.8,281.4,282.0,-0.05999999999999872,15.010000000000002,14.249999999999996,14.070000000000004,0.0,0.0,12.879999999999999,11.319999999999997,0.0,13.319999999999997,2018-05-24T09:44:00.015Z,21.5,17.12,18.19,20.06,20.62,-0.06,21.37,21.12,0.0,21.12
323.4,445.0,376.2,283.8,272.8,270.2,279.0,277.0,281.8,282.8,-0.060000000000002274,14.870000000000001,14.25,14.069999999999997,0.0,0.0,12.879999999999999,11.379999999999999,0.0,13.319999999999997,2018-05-24T08:16:03.477Z,22.62,18.44,19.0,21.12,22.0,-0.06,22.06,21.56,0.0,21.62
329.4,445.0,376.0,284.2,273.6,270.6,279.8,277.6,282.8,283.6,0.0,14.689999999999998,14.070000000000004,13.940000000000001,0.0,0.0,12.819999999999997,11.319999999999997,0.0,13.250000000000004,2018-05-24T06:48:06.464Z,23.44,22.75,22.81,24.37,23.81,-0.06,22.62,21.87,0.0,22.06
335.4,448.2,376.0,286.2,275.0,271.0,280.2,278.2,283.2,284.2,0.07000000000000028,14.760000000000002,14.059999999999999,13.939999999999998,0.0,0.0,12.819999999999997,11.260000000000002,0.0,13.129999999999999,2018-05-24T05:20:10.329Z,23.12,25.37,23.69,25.0,24.19,-0.06,22.12,21.37,0.0,21.62
334.0,449.2,374.2,285.2,275.0,270.4,280.0,278.2,282.6,284.0,0.07000000000000028,14.440000000000001,13.880000000000003,13.870000000000001,0.0,0.0,12.870000000000001,11.25,0.0,13.25,2018-05-24T03:52:12.711Z,22.62,28.12,26.25,26.94,24.37,-0.06,21.44,20.69,0.0,21.0
335.0,436.8,374.0,287.0,275.2,270.6,280.4,278.8,283.0,284.4,0.07000000000000028,14.749999999999996,13.810000000000002,13.940000000000001,0.07000000000000028,0.0,12.750000000000004,11.25,0.0,13.190000000000001,2018-05-24T02:24:16.364Z,21.37,29.94,28.25,29.12,24.37,-0.06,20.31,19.62,0.0,20.06
332.8,428.6,375.4,285.8,274.8,270.0,280.2,278.6,283.0,283.8,0.13000000000000256,14.820000000000004,14.059999999999999,14.000000000000004,0.13000000000000256,0.0,12.809999999999999,11.190000000000001,0.0,13.18,2018-05-24T00:56:19.821Z,18.06,25.06,24.19,25.56,20.81,-0.06,18.25,18.0,0.0,18.44
319.2,428.2,376.0,285.0,274.0,268.8,278.8,278.0,282.4,282.8,0.0,14.940000000000001,14.25,14.190000000000001,0.11999999999999922,0.0,12.869999999999997,11.25,0.0,13.25,2018-05-23T23:28:23.377Z,15.13,18.37,18.0,18.94,15.88,-0.06,16.44,16.69,0.0,17.0
308.0,429.0,376.6,283.4,273.4,267.6,277.8,275.8,280.0,281.8,0.0,15.059999999999999,14.250000000000002,14.180000000000001,0.0,0.0,12.87,11.309999999999999,0.0,13.309999999999999,2018-05-23T22:00:27.178Z,14.63,12.0,12.44,13.94,14.0,-0.06,15.88,16.25,0.0,16.44
307.4,429.0,376.2,282.6,272.8,267.8,277.2,275.6,280.0,281.0,0.0,14.940000000000001,14.250000000000002,14.19,-0.05999999999999872,0.0,12.940000000000001,11.309999999999999,0.0,13.379999999999999,2018-05-23T20:32:31.336Z,15.25,11.75,12.44,14.06,14.44,-0.06,16.31,16.75,0.0,16.87
310.0,430.4,376.4,282.8,273.0,267.4,277.4,275.4,280.2,281.0,-0.0600000000000005,14.94,14.25,14.120000000000001,0.0,0.0,12.940000000000001,11.32,0.0,13.370000000000001,2018-05-23T19:04:35.537Z,16.0,12.31,13.0,14.75,15.13,-0.06,17.0,17.37,0.0,17.5
312.0,430.8,375.4,283.6,273.4,267.6,277.0,275.6,280.2,281.0,0.0,14.930000000000001,14.180000000000001,14.12,-0.05999999999999872,0.0,12.93,11.309999999999999,0.0,13.32,2018-05-23T17:36:39.702Z,16.75,12.94,13.69,15.44,15.94,-0.06,17.69,18.0,0.0,18.12
315.2,431.6,375.4,283.2,273.8,267.8,278.0,276.4,280.4,281.2,-0.060000000000002274,14.87,14.179999999999998,14.060000000000002,0.0,0.0,12.940000000000001,11.32,0.0,13.310000000000002,2018-05-23T16:08:43.863Z,17.62,13.94,14.88,16.56,16.75,-0.06,18.5,18.62,0.0,18.75
319.2,433.0,375.2,283.2,273.8,268.0,277.8,275.8,281.0,281.2,0.0,14.88,14.179999999999998,14.129999999999999,0.0,0.0,12.870000000000001,11.309999999999999,0.0,13.319999999999997,2018-05-23T14:07:56.607Z,18.75,15.06,15.88,17.62,17.94,-0.06,19.44,19.5,0.0,19.62
322.6,437.0,376.0,283.8,274.2,268.4,278.2,276.8,281.0,282.0,-0.05999999999999872,14.870000000000001,14.25,14.129999999999999,0.0,0.0,12.940000000000001,11.309999999999999,0.0,13.249999999999996,2018-05-23T12:40:00.722Z,19.56,15.25,16.25,18.12,18.62,-0.06,20.06,20.0,0.0,20.19
324.4,440.4,375.4,283.0,274.0,268.2,277.4,277.0,280.0,282.2,0.0,14.940000000000001,14.190000000000001,14.059999999999999,0.0,0.0,12.870000000000001,11.309999999999999,0.0,13.309999999999999,2018-05-23T11:12:04.785Z,20.37,16.25,16.81,18.69,19.5,-0.06,20.69,20.5,0.0,20.69
326.0,440.8,374.0,282.4,273.2,268.4,277.0,275.6,280.2,281.2,0.0,14.82,14.25,14.069999999999997,-0.05999999999999872,0.0,12.879999999999999,11.309999999999999,0.0,13.25,2018-05-23T09:44:08.787Z,21.37,17.12,17.69,19.62,20.56,-0.06,21.31,20.94,0.0,21.25
332.2,444.6,373.2,282.6,274.4,268.6,277.4,275.8,281.0,282.6,0.0,14.810000000000002,14.129999999999999,14.060000000000002,-0.060000000000002274,0.0,12.870000000000001,11.319999999999997,0.0,13.25,2018-05-23T08:16:12.814Z,22.44,18.75,19.06,21.0,21.87,-0.06,21.94,21.37,0.0,21.75
338.0,444.4,373.2,283.6,274.6,269.4,278.2,276.6,281.0,282.0,0.0,14.560000000000002,13.880000000000003,13.940000000000001,-0.060000000000002274,0.0,12.879999999999999,11.309999999999999,0.0,13.250000000000004,2018-05-23T06:48:15.821Z,23.06,22.5,22.25,23.62,23.37,-0.06,22.31,21.44,0.0,22.06
340.2,445.6,372.8,284.8,276.0,270.0,279.2,277.4,282.0,283.2,0.0,14.560000000000002,13.940000000000001,13.940000000000001,0.0,0.0,12.819999999999997,11.25,0.0,13.190000000000001,2018-05-23T05:20:17.578Z,22.56,23.5,22.62,24.12,23.44,-0.06,21.62,20.75,0.0,21.44
354.4,448.0,371.2,285.2,275.6,269.6,279.0,277.2,282.0,283.0,0.0,14.310000000000002,13.810000000000002,13.940000000000001,0.0,0.0,12.819999999999997,11.25,0.0,13.120000000000001,2018-05-23T03:52:21.098Z,21.81,27.5,25.5,26.12,23.62,-0.06,20.62,19.81,0.0,20.44
354.6,429.6,370.0,285.2,275.6,269.6,279.0,277.4,282.0,283.0,0.060000000000002274,14.499999999999996,13.880000000000003,13.940000000000001,0.05999999999999872,0.0,12.75,11.25,0.0,13.190000000000001,2018-05-23T02:24:24.609Z,20.31,28.19,27.0,28.44,23.5,-0.06,19.19,18.5,0.0,19.12
347.0,422.2,372.0,285.4,276.4,270.2,280.0,278.8,282.2,283.6,0.05999999999999872,14.620000000000001,13.940000000000001,14.059999999999999,0.19000000000000128,0.0,12.809999999999999,11.25,0.0,13.25,2018-05-23T00:56:26.939Z,16.75,23.69,22.87,24.44,19.56,-0.06,16.94,16.75,0.0,17.25
331.0,422.2,373.6,285.0,275.2,269.2,279.0,277.2,282.0,282.8,0.0,14.870000000000001,14.130000000000003,14.190000000000001,0.13000000000000078,0.0,12.870000000000001,11.249999999999998,0.0,13.24,2018-05-22T23:28:30.475Z,13.44,17.0,16.56,17.56,14.25,-0.06,15.0,15.31,0.0,15.63
318.0,423.2,373.4,283.0,273.4,267.0,277.0,275.4,280.2,281.4,-0.05999999999999872,14.94,14.12,14.179999999999998,-0.05999999999999872,0.0,12.94,11.31,0.0,13.38,2018-05-22T22:00:34.236Z,12.94,9.56,10.19,11.88,12.19,-0.06,14.31,14.88,0.0,15.06
316.4,423.0,374.4,282.4,273.0,266.8,276.6,275.6,280.2,280.4,-0.07000000000000028,14.94,14.120000000000001,14.249999999999998,-0.05999999999999872,0.0,12.99,11.37,0.0,13.37,2018-05-22T20:32:38.404Z,13.63,9.31,10.25,12.06,12.69,-0.06,14.88,15.38,0.0,15.63
317.8,422.8,373.0,285.4,273.0,266.8,277.8,275.2,280.0,280.6,0.0,14.87,14.179999999999998,14.190000000000001,0.0,0.0,12.929999999999998,11.32,0.0,13.380000000000003,2018-05-22T19:04:42.626Z,14.31,9.88,10.88,12.75,13.38,-0.06,15.63,16.12,0.0,16.31
319.0,423.6,372.6,282.8,273.0,267.6,277.0,275.4,280.0,280.6,0.0,14.929999999999998,14.120000000000001,14.180000000000001,0.0,0.0,12.93,11.310000000000002,0.0,13.370000000000001,2018-05-22T17:36:46.823Z,15.19,10.38,11.5,13.44,14.13,-0.06,16.44,16.81,0.0,17.0
321.4,423.4,372.6,282.4,273.2,267.2,277.6,275.4,280.2,281.2,0.0,14.81,14.059999999999999,14.12,-0.0600000000000005,0.0,12.940000000000001,11.310000000000002,0.0,13.369999999999997,2018-05-22T16:08:51.028Z,16.06,11.31,12.5,14.44,15.0,-0.06,17.25,17.56,0.0,17.69
322.0,422.4,371.4,281.2,270.8,266.6,276.2,274.4,279.8,279.8,-0.05999999999999872,14.88,14.13,14.12,-0.060000000000002274,0.0,13.0,11.379999999999999,0.0,13.320000000000004,2018-05-22T14:07:44.634Z,17.56,12.06,13.31,15.44,16.37,-0.06,18.37,18.62,0.0,18.81
322.8,423.0,371.0,281.2,271.0,267.0,276.2,274.4,279.4,280.6,0.0,14.81,14.06,14.130000000000003,0.0,0.0,12.940000000000001,11.309999999999999,0.0,13.379999999999999,2018-05-22T12:39:48.902Z,18.62,13.06,14.44,16.56,17.44,-0.06,19.31,19.44,0.0,19.56
324.6,424.2,371.6,281.4,271.0,267.2,276.6,274.6,279.4,281.0,-0.060000000000002274,14.809999999999999,14.12,14.120000000000001,-0.05999999999999872,0.0,12.939999999999998,11.379999999999999,0.0,13.379999999999999,2018-05-22T11:11:53.051Z,19.87,14.0,15.44,17.75,18.75,-0.06,20.25,20.12,0.0,20.37
325.2,426.8,370.2,281.6,271.6,267.4,277.0,274.8,279.8,280.8,0.0,14.81,14.0,14.060000000000002,-0.07000000000000028,0.0,12.940000000000001,11.379999999999999,0.0,13.309999999999999,2018-05-22T09:43:57.178Z,21.06,15.56,17.31,19.5,20.19,-0.06,21.12,20.81,0.0,21.19
326.8,430.0,371.4,283.8,273.0,270.2,278.8,276.8,281.8,283.0,-0.05999999999999872,14.630000000000003,13.940000000000001,13.999999999999996,-0.05999999999999872,0.0,12.880000000000003,11.319999999999997,0.0,13.249999999999996,2018-05-22T08:16:01.261Z,22.25,18.5,20.19,21.94,21.81,-0.06,22.0,21.37,0.0,21.94
326.8,430.2,372.0,284.8,274.0,270.8,280.0,277.6,282.6,283.4,0.0,14.380000000000003,13.870000000000001,13.940000000000001,0.060000000000002274,0.0,12.810000000000002,11.260000000000002,0.0,13.189999999999998,2018-05-22T06:48:05.262Z,22.56,23.0,23.19,24.06,22.81,-0.06,22.25,21.37,0.0,22.25
328.6,434.6,373.6,286.2,275.8,271.4,281.2,278.6,283.6,284.8,0.0,14.440000000000001,13.809999999999999,13.940000000000001,0.07000000000000028,0.0,12.749999999999996,11.25,0.0,13.190000000000001,2018-05-22T05:20:09.055Z,21.56,22.37,21.94,23.06,22.12,-0.06,21.19,20.37,0.0,21.31
345.2,443.6,372.6,286.2,275.8,271.8,281.8,279.2,284.6,284.6,0.0,14.439999999999998,13.809999999999999,13.820000000000004,-0.05999999999999872,0.0,12.809999999999999,11.25,0.0,13.129999999999999,2018-05-22T03:52:12.548Z,20.69,25.75,24.44,24.56,22.0,-0.06,19.94,19.25,0.0,20.06
352.4,433.8,371.0,286.0,276.4,270.4,280.2,278.6,283.6,284.0,0.05999999999999872,14.379999999999999,13.879999999999999,13.999999999999996,0.05999999999999872,0.0,12.82,11.189999999999998,0.0,13.18,2018-05-22T02:24:16.027Z,19.69,25.06,24.31,25.94,22.19,-0.06,18.62,18.12,0.0,18.69
344.2,420.4,370.0,285.4,275.2,269.8,279.8,278.2,282.2,283.6,0.05999999999999872,14.559999999999999,13.939999999999998,14.069999999999997,0.120000000000001,0.0,12.809999999999999,11.25,0.0,13.25,2018-05-22T00:56:19.515Z,16.5,21.69,21.25,23.12,19.0,-0.06,16.75,16.56,0.0,17.06
329.6,415.4,370.8,284.4,274.6,269.2,278.6,278.0,282.0,282.2,0.0600000000000005,14.690000000000001,14.060000000000002,14.189999999999998,0.13000000000000078,0.0,12.87,11.25,0.0,13.24,2018-05-21T23:28:22.098Z,13.25,16.5,16.06,17.12,14.0,-0.06,14.94,15.25,0.0,15.63
318.4,417.6,370.4,283.4,272.4,267.2,277.2,275.6,280.2,281.0,-0.0600000000000005,14.870000000000001,14.13,14.25,0.0,0.0,12.940000000000001,11.31,0.0,13.370000000000001,2018-05-21T22:00:25.914Z,12.75,8.5,9.31,11.25,11.81,-0.06,14.25,14.81,0.0,15.0
316.0,417.8,370.0,281.8,272.0,266.6,276.0,275.0,279.2,280.0,0.0,14.88,14.120000000000001,14.249999999999998,-0.05999999999999872,0.0,12.929999999999998,11.31,0.0,13.38,2018-05-21T20:32:30.117Z,13.5,8.31,9.5,11.56,12.44,-0.06,14.88,15.44,0.0,15.56
316.8,417.2,370.0,282.2,271.6,266.8,276.6,274.8,279.8,281.2,-0.07000000000000028,14.809999999999999,14.12,14.19,-0.0600000000000005,0.0,12.930000000000001,11.309999999999999,0.0,13.370000000000001,2018-05-21T19:04:34.373Z,14.38,9.0,10.19,12.31,13.25,-0.06,15.69,16.19,0.0,16.25
318.2,417.0,369.4,282.2,271.6,267.2,276.8,274.8,279.8,280.6,0.0,14.749999999999998,14.06,14.13,-0.05999999999999872,0.0,13.0,11.369999999999997,0.0,13.440000000000001,2018-05-21T17:36:37.530Z,15.31,9.81,11.19,13.31,14.19,-0.06,16.5,16.94,0.0,17.0
319.6,417.2,369.0,282.4,271.8,267.2,277.0,275.2,279.8,281.0,-0.07000000000000028,14.74,13.99,14.120000000000001,0.0,0.0,12.940000000000001,11.370000000000001,0.0,13.380000000000003,2018-05-21T16:08:41.733Z,16.44,10.88,12.38,14.5,15.19,-0.06,17.5,17.75,0.0,17.81
322.4,416.2,368.8,283.0,272.0,267.8,277.0,275.4,280.2,281.6,0.0,14.690000000000001,14.000000000000002,14.190000000000001,0.0,0.0,12.940000000000001,11.369999999999997,0.0,13.320000000000004,2018-05-21T14:07:57.004Z,18.12,12.5,13.94,16.0,16.94,-0.06,18.81,18.94,0.0,19.06
324.6,416.4,368.8,283.0,272.0,268.2,277.4,275.6,280.4,281.8,0.0,14.690000000000001,14.0,14.059999999999999,0.0,0.0,12.879999999999999,11.370000000000001,0.0,13.309999999999999,2018-05-21T12:40:01.159Z,19.44,14.0,15.5,17.69,18.37,-0.06,19.81,19.75,0.0,19.94
327.6,417.0,369.0,283.2,272.2,268.8,278.0,276.4,281.0,281.8,0.0,14.690000000000001,14.0,14.060000000000002,-0.05999999999999872,0.0,12.940000000000001,11.309999999999999,0.0,13.319999999999997,2018-05-21T11:12:05.261Z,20.5,15.75,17.19,19.25,19.75,-0.06,20.62,20.5,0.0,20.62
328.4,419.2,368.6,283.4,273.2,269.2,278.6,276.6,281.6,282.0,0.0,14.68,14.000000000000004,14.0,0.0,0.0,12.940000000000001,11.380000000000003,0.0,13.250000000000004,2018-05-21T09:44:08.265Z,21.62,17.19,18.81,20.75,21.06,-0.06,21.37,21.0,0.0,21.31
332.8,423.2,368.6,284.4,273.4,269.6,278.8,276.6,282.0,283.2,0.0,14.559999999999999,13.940000000000001,13.940000000000001,-0.07000000000000028,0.0,12.879999999999999,11.310000000000002,0.0,13.319999999999997,2018-05-21T08:16:12.307Z,22.75,19.19,20.81,22.87,22.69,-0.06,22.12,21.5,0.0,21.87
330.6,424.2,369.0,285.0,275.0,271.0,280.6,278.2,282.6,284.2,0.0,14.309999999999999,13.820000000000004,13.880000000000003,-0.05999999999999872,0.0,12.870000000000001,11.250000000000004,0.0,13.190000000000001,2018-05-21T06:48:16.326Z,23.12,24.19,24.81,25.75,24.0,-0.06,22.44,21.56,0.0,22.31
335.2,426.4,369.8,286.8,276.6,271.4,281.4,279.0,283.8,285.2,0.05999999999999872,14.370000000000001,13.809999999999999,14.010000000000002,0.0,0.0,12.760000000000002,11.189999999999998,0.0,13.190000000000001,2018-05-21T05:20:20.103Z,21.94,23.19,23.19,24.87,23.31,-0.06,21.37,20.62,0.0,21.44
345.6,435.6,368.6,286.2,277.0,271.0,280.6,278.8,286.0,284.6,0.0,14.190000000000001,13.75,13.810000000000002,0.0,0.0,12.749999999999996,11.190000000000001,0.0,13.130000000000003,2018-05-21T03:52:23.507Z,21.06,27.62,26.5,26.5,22.87,-0.06,20.19,19.5,0.0,20.25
353.2,423.4,367.4,286.4,276.2,270.8,280.4,278.6,283.2,284.2,0.05999999999999872,14.319999999999997,13.819999999999997,13.870000000000001,0.05999999999999872,0.0,12.82,11.189999999999998,0.0,13.190000000000001,2018-05-21T02:24:26.928Z,19.94,26.87,25.87,27.19,22.75,-0.06,18.87,18.37,0.0,18.94
346.2,412.0,367.0,285.2,276.2,269.8,279.8,277.8,282.4,283.6,0.13000000000000256,14.440000000000001,13.879999999999999,13.999999999999996,0.11999999999999744,0.0,12.879999999999999,11.25,0.0,13.25,2018-05-21T00:56:30.431Z,16.56,22.94,22.06,23.69,19.19,-0.06,16.87,16.75,0.0,17.25
334.6,408.2,367.2,285.0,274.4,268.8,279.6,277.4,281.4,283.0,0.07000000000000028,14.630000000000003,14.059999999999999,14.189999999999998,0.13000000000000078,0.0,12.87,11.31,0.0,13.249999999999998,2018-05-20T23:28:33.994Z,13.31,16.56,16.0,17.12,14.0,-0.06,15.13,15.44,0.0,15.81
321.6,412.2,367.6,283.0,273.2,267.8,277.4,275.8,280.0,281.0,-0.0600000000000005,14.81,14.059999999999999,14.179999999999998,0.0,0.0,12.929999999999998,11.309999999999999,0.0,13.31,2018-05-20T22:00:36.794Z,12.75,8.69,9.25,11.13,11.75,-0.06,14.38,15.0,0.0,15.19
319.0,412.0,366.6,282.6,272.6,266.6,276.4,275.0,279.2,280.8,0.0,14.809999999999999,14.059999999999999,14.180000000000001,-0.0600000000000005,0.0,13.0,11.31,0.0,13.370000000000001,2018-05-20T20:32:40.958Z,13.44,8.0,9.0,11.19,12.25,-0.06,15.0,15.63,0.0,15.75
320.2,411.4,366.2,282.2,272.6,267.0,276.4,275.4,279.4,280.8,0.0,14.75,14.059999999999999,14.120000000000001,0.0,0.0,12.99,11.369999999999997,0.0,13.380000000000003,2018-05-20T19:04:45.224Z,14.38,8.5,9.75,12.0,13.06,-0.06,15.88,16.44,0.0,16.56
320.0,411.0,365.8,282.2,273.0,267.0,276.8,275.6,280.0,280.4,-0.0600000000000005,14.81,14.06,14.120000000000001,0.0,0.0,12.939999999999998,11.380000000000003,0.0,13.369999999999997,2018-05-20T17:36:48.428Z,15.5,9.19,10.69,13.0,14.06,-0.06,16.87,17.31,0.0,17.44
320.2,411.2,365.8,282.4,273.0,267.6,277.0,275.4,280.4,280.8,0.0,14.679999999999998,13.999999999999998,14.120000000000001,-0.05999999999999872,0.0,12.93,11.370000000000001,0.0,13.380000000000003,2018-05-20T16:08:52.409Z,16.56,10.38,12.06,14.25,15.19,-0.06,17.94,18.25,0.0,18.31
321.6,410.0,365.2,282.6,273.6,268.0,277.4,275.6,280.4,281.0,-0.05999999999999872,14.679999999999998,13.929999999999998,14.120000000000001,0.0,0.0,12.940000000000001,11.309999999999999,0.0,13.319999999999997,2018-05-20T14:07:49.330Z,18.31,11.88,13.63,15.75,16.75,-0.06,19.31,19.5,0.0,19.62
318.6,410.6,365.4,283.0,274.0,269.0,278.0,276.0,280.8,282.0,-0.05999999999999872,14.62,13.94,14.060000000000002,0.0,0.0,12.940000000000001,11.310000000000002,0.0,13.309999999999999,2018-05-20T12:39:53.501Z,19.56,13.44,15.06,17.06,18.0,-0.06,20.31,20.31,0.0,20.44
