dhthum0,dhttmp0,dp0,ec0,gstmp0,hum0,hum1,hum2,hum3,pre0,pre1,pretmp0,pretmp1,timestamp,tmp0,tmp1,tmp10,tmp11,tmp12,tmp2,tmp3,tmp4,tmp5,tmp6,tmp7,tmp8,tmp9,volt0
29.1,20.1,6.7,48.0,18.1,0.0,0.1,0.0,0.0,1042.4,1066.2,20.49,20.76,2018-05-24T12:00:05.553Z,0.0,16.61,0.0,0.0,0.0,676.0,28.92,20.5,-999.0,-999.0,99.9,17.3,0.0,0.0
29.95,21.35,6.68,49.0,19.4,0.0,0.1,0.0,0.0,1043.2,1068.1,21.21,21.25,2018-05-24T10:32:09.635Z,0.0,17.84,0.0,0.0,0.0,678.0,28.94,21.2,-999.0,-999.0,99.9,18.4,0.0,0.0
31.25,22.55,6.67,48.0,20.8,0.0,70.01,0.0,0.0,1044.0,1070.7,21.89,21.66,2018-05-24T09:04:13.683Z,0.0,19.24,0.0,0.0,0.0,678.0,28.95,21.7,-999.0,-999.0,99.9,19.9,0.0,0.0
33.65,24.6,6.64,48.0,22.9,0.0,89.28,0.0,0.0,1045.3,1074.0,22.51,22.01,2018-05-24T07:36:17.110Z,0.0,20.98,0.0,0.0,0.0,679.0,29.0,22.1,-999.0,-999.0,99.9,22.25,0.0,0.0
31.6,31.3,6.6,52.0,24.9,0.0,95.49,0.0,0.0,1043.5,1070.0,22.69,21.97,2018-05-24T06:08:19.937Z,0.0,23.92,0.0,0.0,0.0,682.0,28.92,22.0,-999.0,-999.0,99.9,24.7,0.0,0.0
32.15,31.5,6.6,52.0,25.7,0.0,94.33,0.0,0.0,1042.3,1067.7,22.05,21.3,2018-05-24T04:40:22.385Z,0.0,25.32,0.0,0.0,0.0,674.0,29.01,21.3,-999.0,-999.0,99.9,25.6,0.0,0.0
30.45,35.5,6.65,55.0,26.5,0.0,92.58,0.0,0.0,1041.7,1065.0,21.18,20.43,2018-05-24T03:12:26.048Z,0.0,27.6,0.0,0.0,0.0,674.0,29.04,20.3,-999.0,-999.0,99.9,26.6,0.0,0.0
27.25,38.85,6.72,58.0,24.5,0.0,0.1,0.0,0.0,1038.2,1057.0,19.42,19.12,2018-05-24T01:44:29.512Z,0.0,28.04,0.0,0.0,0.0,671.0,29.08,18.6,-999.0,-999.0,99.9,25.05,0.0,0.0
26.45,34.4,6.87,56.0,19.2,0.0,0.1,0.0,0.0,1037.6,1055.9,17.26,17.88,2018-05-24T00:16:33.030Z,0.0,23.96,0.0,0.0,0.0,671.0,29.0,16.9,-999.0,-999.0,99.9,20.0,0.0,0.0
26.65,26.15,6.88,52.0,14.6,0.0,0.1,0.0,0.0,1036.8,1054.8,16.05,17.2,2018-05-23T22:48:36.813Z,0.0,16.46,0.0,0.0,0.0,670.0,28.96,16.1,-999.0,-999.0,99.9,15.2,0.0,0.0
26.3,16.8,6.89,50.0,13.6,0.0,0.1,0.0,0.0,1037.6,1058.8,16.17,17.37,2018-05-23T21:20:40.954Z,0.0,12.52,0.0,0.0,0.0,668.0,29.15,16.5,-999.0,-999.0,99.9,13.2,0.0,0.0
26.7,16.4,6.86,49.0,14.2,0.0,0.1,0.0,0.0,1038.0,1060.2,16.82,17.89,2018-05-23T19:52:45.137Z,0.0,12.86,0.0,0.0,0.0,669.0,29.05,17.1,-999.0,-999.0,99.9,13.6,0.0,0.0
27.0,17.0,6.8,49.0,14.9,0.0,0.1,0.0,0.0,1037.7,1060.6,17.48,18.48,2018-05-23T18:24:49.328Z,0.0,13.55,0.0,0.0,0.0,673.0,28.95,17.7,-999.0,-999.0,99.9,14.3,0.0,0.0
27.4,17.6,6.81,49.0,15.6,0.0,0.1,0.0,0.0,1038.5,1061.6,18.22,19.06,2018-05-23T16:56:53.493Z,0.0,14.24,0.0,0.0,0.0,672.0,28.96,18.4,-999.0,-999.0,99.9,14.9,0.0,0.0
27.9,18.45,6.77,49.0,16.4,0.0,0.1,0.0,0.0,1040.5,1063.8,18.95,19.66,2018-05-23T15:28:57.604Z,0.0,15.06,0.0,0.0,0.0,672.0,29.1,19.1,-999.0,-999.0,99.9,15.7,0.0,0.0
28.3,18.8,6.75,48.0,16.7,0.0,0.1,0.0,0.0,1040.6,1065.1,19.23,19.87,2018-05-23T14:56:06.240Z,0.0,15.38,0.0,0.0,0.0,676.0,29.09,19.3,-999.0,-999.0,99.9,16.0,0.0,0.0
28.55,20.2,6.74,49.0,17.5,0.0,0.1,0.0,0.0,1041.8,1065.6,19.91,20.4,2018-05-23T13:28:10.315Z,0.0,16.34,0.0,0.0,0.0,676.0,29.03,20.0,-999.0,-999.0,99.9,16.95,0.0,0.0
29.55,20.55,6.72,49.0,18.6,0.0,0.1,0.0,0.0,1044.0,1068.2,20.58,20.85,2018-05-23T12:00:14.435Z,0.0,17.1,0.0,0.0,0.0,678.0,28.99,20.6,-999.0,-999.0,99.9,18.05,0.0,0.0
30.3,21.6,6.69,49.0,19.8,0.0,0.1,0.0,0.0,1045.5,1071.0,21.21,21.26,2018-05-23T10:32:18.424Z,0.0,17.76,0.0,0.0,0.0,678.0,29.04,21.1,-999.0,-999.0,99.9,19.0,0.0,0.0
32.0,22.95,6.68,48.0,21.0,0.0,0.1,0.0,0.0,1047.4,1075.2,21.84,21.61,2018-05-23T09:04:22.454Z,0.0,18.94,0.0,0.0,0.0,678.0,29.2,21.6,-999.0,-999.0,99.9,20.4,0.0,0.0
34.4,25.3,6.66,49.0,22.7,0.0,0.1,0.0,0.0,1049.3,1079.0,22.41,21.84,2018-05-23T07:36:25.404Z,0.0,20.58,0.0,0.0,0.0,679.0,29.29,21.8,-999.0,-999.0,99.9,22.15,0.0,0.0
