dhthum0,dhttmp0,dp0,dp1,ec0,ec1,gstemp1,gstmp0,hum0,hum1,hum2,pre0,pre1,pretmp0,pretmp1,timestamp,tmp0,tmp1,tmp10,tmp11,tmp12,tmp2,tmp4,tmp5,tmp6,tmp7,tmp8,tmp9,volt0
24.1,19.7,8.8,7.27,465.0,324.0,12.4,11.6,0.0,0.0,0.0,6855.5,6855.5,-2273.7,-2273.7,2019-06-23T22:46:16.233Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.1,10.6,8.71,7.26,459.0,309.0,12.0,9.2,0.0,0.0,0.0,6855.5,6855.5,-2273.7,-2273.7,2019-06-23T21:48:31.979Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.75,10.2,8.73,7.28,456.0,310.0,12.3,9.5,0.0,0.0,0.0,6855.5,6855.5,-2273.7,-2273.7,2019-06-23T20:50:48.978Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.9,10.2,8.72,7.31,456.0,311.0,12.7,10.0,0.0,0.0,0.0,6855.5,6855.5,-2273.7,-2273.7,2019-06-23T19:53:05.872Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,10.8,8.77,7.35,454.0,311.0,13.2,10.4,0.0,0.0,0.0,6855.5,6855.5,-2273.7,-2273.7,2019-06-23T18:55:23.026Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.15,11.0,8.8,7.32,455.0,311.0,13.7,10.9,0.0,0.0,0.0,6855.5,6855.5,-2273.7,-2273.7,2019-06-23T17:57:39.663Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.6,11.2,8.81,7.34,453.0,312.0,14.2,11.6,0.0,0.0,0.0,6855.5,6855.5,-2273.7,-2273.7,2019-06-23T16:59:56.980Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.45,11.85,8.84,7.38,453.0,312.0,14.7,12.2,0.0,0.0,0.0,6855.5,6855.5,-2273.7,-2273.7,2019-06-23T16:02:13.905Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.65,12.6,8.88,7.39,454.0,313.0,15.2,12.9,0.0,0.0,0.0,6855.5,6855.5,-2273.7,-2273.7,2019-06-23T15:04:30.978Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.55,13.2,9.07,7.43,461.0,312.0,15.6,15.8,0.0,0.0,0.0,6855.5,6855.5,-2273.7,-2273.7,2019-06-23T14:06:47.865Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
