Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,097047,2018,01,01,3.6,1,Y
IDCJAC0009,097047,2018,01,02,0.6,1,Y
IDCJAC0009,097047,2018,01,03,4.4,1,Y
IDCJAC0009,097047,2018,01,04,0.8,1,Y
IDCJAC0009,097047,2018,01,05,2.4,1,Y
IDCJAC0009,097047,2018,01,06,0.0,,Y
IDCJAC0009,097047,2018,01,07,0.0,,Y
IDCJAC0009,097047,2018,01,08,0.0,,Y
IDCJAC0009,097047,2018,01,09,11.4,1,Y
IDCJAC0009,097047,2018,01,10,2.0,1,Y
IDCJAC0009,097047,2018,01,11,0.0,,Y
IDCJAC0009,097047,2018,01,12,0.0,,Y
IDCJAC0009,097047,2018,01,13,17.8,1,Y
IDCJAC0009,097047,2018,01,14,4.2,1,Y
IDCJAC0009,097047,2018,01,15,5.6,1,Y
IDCJAC0009,097047,2018,01,16,0.0,,Y
IDCJAC0009,097047,2018,01,17,0.0,,Y
IDCJAC0009,097047,2018,01,18,0.0,,Y
IDCJAC0009,097047,2018,01,19,0.0,,Y
IDCJAC0009,097047,2018,01,20,0.0,,Y
IDCJAC0009,097047,2018,01,21,0.0,,Y
IDCJAC0009,097047,2018,01,22,0.2,1,Y
IDCJAC0009,097047,2018,01,23,0.0,,Y
IDCJAC0009,097047,2018,01,24,0.0,,Y
IDCJAC0009,097047,2018,01,25,0.0,,Y
IDCJAC0009,097047,2018,01,26,0.0,,Y
IDCJAC0009,097047,2018,01,27,0.0,,Y
IDCJAC0009,097047,2018,01,28,0.0,,Y
IDCJAC0009,097047,2018,01,29,0.4,1,Y
IDCJAC0009,097047,2018,01,30,1.4,1,Y
IDCJAC0009,097047,2018,01,31,5.2,1,Y
IDCJAC0009,097047,2018,02,01,0.0,,N
IDCJAC0009,097047,2018,02,02,0.0,,N
IDCJAC0009,097047,2018,02,03,0.0,,N
IDCJAC0009,097047,2018,02,04,0.0,,N
IDCJAC0009,097047,2018,02,05,0.0,,N
IDCJAC0009,097047,2018,02,06,0.0,,N
IDCJAC0009,097047,2018,02,07,0.0,,N
IDCJAC0009,097047,2018,02,08,0.8,1,N
IDCJAC0009,097047,2018,02,09,0.0,,N
IDCJAC0009,097047,2018,02,10,0.0,,N
IDCJAC0009,097047,2018,02,11,13.8,1,N
IDCJAC0009,097047,2018,02,12,0.2,1,N
IDCJAC0009,097047,2018,02,13,0.0,,N
IDCJAC0009,097047,2018,02,14,1.2,1,N
IDCJAC0009,097047,2018,02,15,26.2,1,N
IDCJAC0009,097047,2018,02,16,16.2,1,N
IDCJAC0009,097047,2018,02,17,3.4,1,N
IDCJAC0009,097047,2018,02,18,7.0,1,N
IDCJAC0009,097047,2018,02,19,0.4,1,N
IDCJAC0009,097047,2018,02,20,0.0,,N
IDCJAC0009,097047,2018,02,21,0.0,,N
IDCJAC0009,097047,2018,02,22,0.0,,N
IDCJAC0009,097047,2018,02,23,3.4,1,N
IDCJAC0009,097047,2018,02,24,25.4,1,N
IDCJAC0009,097047,2018,02,25,11.2,1,N
IDCJAC0009,097047,2018,02,26,0.0,,N
IDCJAC0009,097047,2018,02,27,0.0,,N
IDCJAC0009,097047,2018,02,28,1.6,1,N
IDCJAC0009,097047,2018,03,01,16.8,1,Y
IDCJAC0009,097047,2018,03,02,0.0,,Y
IDCJAC0009,097047,2018,03,03,0.0,,Y
IDCJAC0009,097047,2018,03,04,1.2,1,Y
IDCJAC0009,097047,2018,03,05,1.0,1,Y
IDCJAC0009,097047,2018,03,06,0.0,,Y
IDCJAC0009,097047,2018,03,07,0.0,,Y
IDCJAC0009,097047,2018,03,08,0.0,,Y
IDCJAC0009,097047,2018,03,09,0.0,,Y
IDCJAC0009,097047,2018,03,10,0.0,,Y
IDCJAC0009,097047,2018,03,11,0.0,,Y
IDCJAC0009,097047,2018,03,12,0.0,,Y
IDCJAC0009,097047,2018,03,13,12.6,1,Y
IDCJAC0009,097047,2018,03,14,5.0,1,Y
IDCJAC0009,097047,2018,03,15,3.6,1,Y
IDCJAC0009,097047,2018,03,16,1.2,1,Y
IDCJAC0009,097047,2018,03,17,0.8,1,Y
IDCJAC0009,097047,2018,03,18,18.0,1,Y
IDCJAC0009,097047,2018,03,19,20.6,1,Y
IDCJAC0009,097047,2018,03,20,13.6,1,Y
IDCJAC0009,097047,2018,03,21,0.8,1,Y
IDCJAC0009,097047,2018,03,22,0.0,,Y
IDCJAC0009,097047,2018,03,23,0.0,,Y
IDCJAC0009,097047,2018,03,24,13.8,1,Y
IDCJAC0009,097047,2018,03,25,12.2,1,Y
IDCJAC0009,097047,2018,03,26,51.6,1,Y
IDCJAC0009,097047,2018,03,27,13.2,1,Y
IDCJAC0009,097047,2018,03,28,4.6,1,Y
IDCJAC0009,097047,2018,03,29,0.8,1,Y
IDCJAC0009,097047,2018,03,30,13.4,1,Y
IDCJAC0009,097047,2018,03,31,0.8,1,Y
IDCJAC0009,097047,2018,04,01,2.6,1,N
IDCJAC0009,097047,2018,04,02,6.4,1,N
IDCJAC0009,097047,2018,04,03,3.2,1,N
IDCJAC0009,097047,2018,04,04,3.8,1,N
IDCJAC0009,097047,2018,04,05,1.2,1,N
IDCJAC0009,097047,2018,04,06,3.8,1,N
IDCJAC0009,097047,2018,04,07,0.2,1,N
IDCJAC0009,097047,2018,04,08,1.0,1,N
IDCJAC0009,097047,2018,04,09,1.8,1,N
IDCJAC0009,097047,2018,04,10,0.0,,N
IDCJAC0009,097047,2018,04,11,1.0,1,N
IDCJAC0009,097047,2018,04,12,1.0,1,N
IDCJAC0009,097047,2018,04,13,10.6,1,N
IDCJAC0009,097047,2018,04,14,19.0,1,N
IDCJAC0009,097047,2018,04,15,29.6,1,N
IDCJAC0009,097047,2018,04,16,19.0,1,N
IDCJAC0009,097047,2018,04,17,3.2,1,N
IDCJAC0009,097047,2018,04,18,1.0,1,N
IDCJAC0009,097047,2018,04,19,0.0,,N
IDCJAC0009,097047,2018,04,20,0.0,,N
IDCJAC0009,097047,2018,04,21,0.0,,N
IDCJAC0009,097047,2018,04,22,0.0,,N
IDCJAC0009,097047,2018,04,23,0.0,,N
IDCJAC0009,097047,2018,04,24,0.0,,N
IDCJAC0009,097047,2018,04,25,3.0,1,N
IDCJAC0009,097047,2018,04,26,8.2,1,N
IDCJAC0009,097047,2018,04,27,1.4,1,N
IDCJAC0009,097047,2018,04,28,1.8,1,N
IDCJAC0009,097047,2018,04,29,2.8,1,N
IDCJAC0009,097047,2018,04,30,0.0,,N
IDCJAC0009,097047,2018,05,01,0.0,,N
IDCJAC0009,097047,2018,05,02,0.0,,N
IDCJAC0009,097047,2018,05,03,0.2,1,N
IDCJAC0009,097047,2018,05,04,18.2,1,N
IDCJAC0009,097047,2018,05,05,17.4,1,N
IDCJAC0009,097047,2018,05,06,10.0,1,N
IDCJAC0009,097047,2018,05,07,4.0,1,N
IDCJAC0009,097047,2018,05,08,7.2,1,N
IDCJAC0009,097047,2018,05,09,1.8,1,N
IDCJAC0009,097047,2018,05,10,12.6,1,N
IDCJAC0009,097047,2018,05,11,2.4,1,N
IDCJAC0009,097047,2018,05,12,0.2,1,N
IDCJAC0009,097047,2018,05,13,2.2,1,N
IDCJAC0009,097047,2018,05,14,0.4,1,N
IDCJAC0009,097047,2018,05,15,4.0,1,N
IDCJAC0009,097047,2018,05,16,6.2,1,N
IDCJAC0009,097047,2018,05,17,14.2,1,N
IDCJAC0009,097047,2018,05,18,21.0,1,N
IDCJAC0009,097047,2018,05,19,8.4,1,N
IDCJAC0009,097047,2018,05,20,12.0,1,N
