dhthum0,dhttmp0,dp0,ec0,gstmp0,hum0,hum1,hum2,hum3,pre0,pre1,pretmp0,pretmp1,timestamp,tmp0,tmp1,tmp10,tmp11,tmp12,tmp2,tmp3,tmp4,tmp5,tmp6,tmp7,tmp8,tmp9,volt0
40.9,30.5,1.68,1.0,30.3,0.0,53.42,0.0,0.0,0.0,1009.2,0.0,25.37,2019-03-03T23:59:08.268Z,0.0,29.71,0.0,0.0,0.0,1.0,1.68,30.4,0.0,0.0,0.0,0.0,0.0,0.0
41.7,29.2,1.63,1.0,29.3,0.0,60.11,0.0,0.0,0.0,1006.9,0.0,24.46,2019-03-03T22:45:07.298Z,0.0,28.78,0.0,0.0,0.0,1.0,1.66,29.4,0.0,0.0,0.0,0.0,0.0,0.0
42.65,24.4,1.53,1.0,24.1,0.0,84.44,0.0,0.0,0.0,1003.2,0.0,23.09,2019-03-03T21:31:06.432Z,0.0,23.49,0.0,0.0,0.0,1.0,1.57,24.1,0.0,0.0,0.0,0.0,0.0,0.0
42.85,20.7,1.52,1.0,19.2,0.0,90.3,0.0,0.0,0.0,1001.8,0.0,23.0,2019-03-03T20:17:05.331Z,0.0,19.02,0.0,0.0,0.0,1.0,1.51,19.2,0.0,0.0,0.0,0.0,0.0,0.0
42.55,20.85,1.47,1.0,19.4,0.0,90.36,0.0,0.0,0.0,1003.1,0.0,23.41,2019-03-03T19:03:04.799Z,0.0,19.21,0.0,0.0,0.0,1.0,1.49,19.4,0.0,0.0,0.0,0.0,0.0,0.0
42.4,21.2,1.53,1.0,19.8,0.0,89.3,0.0,0.0,0.0,1004.6,0.0,23.82,2019-03-03T17:49:04.068Z,0.0,19.62,0.0,0.0,0.0,1.0,1.53,19.8,0.0,0.0,0.0,0.0,0.0,0.0
42.45,21.9,1.55,1.0,20.4,0.0,87.49,0.0,0.0,0.0,1007.1,0.0,24.23,2019-03-03T16:35:03.243Z,0.0,20.25,0.0,0.0,0.0,1.0,1.5,20.4,0.0,0.0,0.0,0.0,0.0,0.0
42.6,22.0,1.53,1.0,20.5,0.0,86.48,0.0,0.0,0.0,1010.3,0.0,24.62,2019-03-03T15:21:02.236Z,0.0,20.34,0.0,0.0,0.0,1.0,1.5,20.6,0.0,0.0,0.0,0.0,0.0,0.0
43.4,22.2,1.5,1.0,20.8,0.0,85.05,0.0,0.0,0.0,1013.7,0.0,25.09,2019-03-03T14:07:00.802Z,0.0,20.63,0.0,0.0,0.0,1.0,1.51,20.8,0.0,0.0,0.0,0.0,0.0,0.0
44.05,23.15,1.52,1.0,21.8,0.0,83.62,0.0,0.0,0.0,1017.0,0.0,25.52,2019-03-03T12:52:58.610Z,0.0,21.71,0.0,0.0,0.0,1.0,1.53,21.9,0.0,0.0,0.0,0.0,0.0,0.0
45.05,23.55,1.51,1.0,22.4,0.0,81.24,0.0,0.0,0.0,1019.5,0.0,25.98,2019-03-03T11:38:57.526Z,0.0,22.27,0.0,0.0,0.0,1.0,1.55,22.5,0.0,0.0,0.0,0.0,0.0,0.0
44.45,25.05,1.53,1.0,23.6,0.0,73.31,0.0,0.0,0.0,1021.4,0.0,26.47,2019-03-03T10:24:56.398Z,0.0,23.48,0.0,0.0,0.0,2.0,1.56,23.6,0.0,0.0,0.0,0.0,0.0,0.0
44.6,26.1,1.54,1.0,24.3,0.0,68.9,0.0,0.0,0.0,1021.4,0.0,26.93,2019-03-03T09:10:55.290Z,0.0,24.3,0.0,0.0,0.0,1.0,1.57,24.3,0.0,0.0,0.0,0.0,0.0,0.0
42.8,28.9,1.58,2.0,26.1,0.0,59.09,0.0,0.0,0.0,1020.4,0.0,27.41,2019-03-03T07:56:54.318Z,0.0,26.58,0.0,0.0,0.0,2.0,1.57,26.0,0.0,0.0,0.0,0.0,0.0,0.0
41.1,32.3,1.66,1.0,28.4,0.0,50.26,0.0,0.0,0.0,1018.6,0.0,27.82,2019-03-03T06:42:52.950Z,0.0,30.17,0.0,0.0,0.0,1.0,1.62,28.3,0.0,0.0,0.0,0.0,0.0,0.0
36.4,36.1,1.72,1.0,31.5,0.0,38.29,0.0,0.0,0.0,1014.7,0.0,27.6,2019-03-03T05:28:51.640Z,0.0,34.75,0.0,0.0,0.0,1.0,1.71,31.6,0.0,0.0,0.0,0.0,0.0,0.0
34.9,37.5,1.74,1.0,38.4,0.0,35.01,0.0,0.0,0.0,1012.1,0.0,27.34,2019-03-03T04:14:50.062Z,0.0,37.48,0.0,0.0,0.0,1.0,1.72,38.6,0.0,0.0,0.0,0.0,0.0,0.0
36.0,35.5,1.77,1.0,40.4,0.0,44.42,0.0,0.0,0.0,1011.7,0.0,26.03,2019-03-03T03:00:48.710Z,0.0,33.23,0.0,0.0,0.0,1.0,1.78,40.6,0.0,0.0,0.0,0.0,0.0,0.0
41.95,30.4,1.76,1.0,32.7,0.0,60.26,0.0,0.0,0.0,1009.9,0.0,24.78,2019-03-03T01:46:47.354Z,0.0,28.66,0.0,0.0,0.0,1.0,1.76,32.7,0.0,0.0,0.0,0.0,0.0,0.0
41.75,30.1,1.7,1.0,30.3,0.0,66.04,0.0,0.0,0.0,1009.5,0.0,24.59,2019-03-03T01:21:01.174Z,0.0,28.66,0.0,0.0,0.0,1.0,1.75,30.3,0.0,0.0,0.0,0.0,0.0,0.0
42.3,28.4,1.72,1.0,30.3,0.0,79.16,0.0,0.0,0.0,1006.5,0.0,23.51,2019-03-03T00:06:59.917Z,0.0,28.13,0.0,0.0,0.0,1.0,1.75,30.3,0.0,0.0,0.0,0.0,0.0,0.0
43.75,25.25,1.62,1.0,25.3,0.0,85.77,0.0,0.0,0.0,1005.0,0.0,22.95,2019-03-02T22:52:58.911Z,0.0,25.61,0.0,0.0,0.0,1.0,1.59,25.3,0.0,0.0,0.0,0.0,0.0,0.0
42.75,20.5,1.5,1.0,18.9,0.0,92.89,0.0,0.0,0.0,1001.1,0.0,22.51,2019-03-02T18:44:06.103Z,0.0,18.84,0.0,0.0,0.0,1.0,1.52,18.9,0.0,0.0,0.0,0.0,0.0,0.0
42.55,20.95,1.53,1.0,19.2,0.0,91.94,0.0,0.0,0.0,1002.0,0.0,22.87,2019-03-02T17:30:05.135Z,0.0,19.34,0.0,0.0,0.0,1.0,1.52,19.2,0.0,0.0,0.0,0.0,0.0,0.0
