,ts,rainfall,rainfall,wind
0,2019-07-25 22:02:42.151,0,0,5
1,2019-07-25 22:12:42.257,0,0,381
2,2019-07-25 22:22:42.544,0,0,564
3,2019-07-25 22:32:42.363,0,0,717
4,2019-07-25 22:42:42.808,0,0,611
5,2019-07-25 22:52:42.805,0,0,374
6,2019-07-25 23:02:42.741,0,0,237
7,2019-07-25 23:12:42.962,0,0,159
8,2019-07-25 23:22:43.036,0,0,331
9,2019-07-25 23:32:42.705,0,0,173
10,2019-07-25 23:42:42.971,0,0,332
11,2019-07-25 23:52:43.363,0,0,195
12,2019-07-26 00:02:43.556,0,0,60
13,2019-07-26 00:12:43.554,0,0,36
14,2019-07-26 00:22:43.452,0,0,73
15,2019-07-26 00:32:43.694,0,0,92
16,2019-07-26 00:42:43.600,0,0,5
17,2019-07-26 00:52:43.947,0,0,92
18,2019-07-26 01:02:44.043,0,0,179
19,2019-07-26 01:12:43.885,0,0,206
20,2019-07-26 01:22:43.866,0,0,201
21,2019-07-26 01:32:43.803,0,0,73
22,2019-07-26 01:42:44.229,0,0,113
23,2019-07-26 01:52:44.320,0,0,23
24,2019-07-26 02:02:44.427,0,0,48
25,2019-07-26 02:12:44.568,0,0,85
26,2019-07-26 02:22:44.644,0,0,250
27,2019-07-26 02:32:44.703,0,0,89
28,2019-07-26 02:42:44.792,0,0,131
29,2019-07-26 02:52:44.887,0,0,198
30,2019-07-26 03:02:45.032,0,0,290
31,2019-07-26 03:12:45.119,0,0,412
32,2019-07-26 03:22:45.210,0,0,144
33,2019-07-26 03:32:45.318,0,0,254
34,2019-07-26 03:42:45.420,0,0,274
35,2019-07-26 03:52:45.508,0,0,174
36,2019-07-26 04:02:45.320,0,0,264
37,2019-07-26 04:12:45.720,0,0,104
38,2019-07-26 04:22:45.824,0,0,234
39,2019-07-26 04:32:45.917,0,0,107
40,2019-07-26 04:42:45.998,0,0,39
41,2019-07-26 04:52:46.075,0,0,74
42,2019-07-26 05:02:46.178,0,0,49
43,2019-07-26 05:12:46.254,0,0,23
44,2019-07-26 05:22:46.353,0,0,30
45,2019-07-26 05:32:46.670,0,0,33
46,2019-07-26 05:42:46.307,0,0,11
47,2019-07-26 05:52:46.523,0,0,0
48,2019-07-26 06:02:46.892,0,0,17
49,2019-07-26 06:12:46.473,0,0,77
50,2019-07-26 06:22:47.047,0,0,15
51,2019-07-26 06:32:46.976,0,0,77
52,2019-07-26 06:42:47.047,0,0,130
53,2019-07-26 06:52:47.164,0,0,10
54,2019-07-26 07:02:47.248,0,0,17
55,2019-07-26 07:12:47.404,0,0,27
56,2019-07-26 07:22:47.508,0,0,4
57,2019-07-26 07:32:47.751,0,0,230
58,2019-07-26 07:42:47.594,0,0,95
59,2019-07-26 07:52:47.970,0,0,96
60,2019-07-26 08:02:48.064,0,0,37
61,2019-07-26 08:12:48.177,0,0,14
62,2019-07-26 08:22:48.288,0,0,0
63,2019-07-26 08:32:48.407,0,0,57
64,2019-07-26 08:42:48.543,0,0,115
65,2019-07-26 08:52:48.645,0,0,61
66,2019-07-26 09:02:48.758,0,0,19
67,2019-07-26 09:12:48.484,0,0,50
68,2019-07-26 09:22:48.890,0,0,162
69,2019-07-26 09:32:49.505,0,0,212
70,2019-07-26 09:42:48.728,0,0,246
71,2019-07-26 09:52:48.857,0,0,158
72,2019-07-26 10:02:48.962,0,0,163
73,2019-07-26 10:12:49.053,0,0,987
74,2019-07-26 10:22:48.966,0,0,771
75,2019-07-26 10:32:49.236,0,0,568
76,2019-07-26 10:42:49.342,0,0,483
77,2019-07-26 10:52:49.444,0,0,688
78,2019-07-26 11:02:49.863,0,0,727
79,2019-07-26 11:12:49.680,0,0,934
80,2019-07-26 11:22:49.779,0,0,925
81,2019-07-26 11:32:49.885,0,0,756
82,2019-07-26 11:42:50.001,0,0,1195
83,2019-07-26 11:52:50.122,0,0,920
84,2019-07-26 12:02:50.256,0,0,783
85,2019-07-26 12:12:50.027,0,0,930
86,2019-07-26 12:22:50.105,0,0,1221
87,2019-07-26 12:32:50.220,0,0,1034
88,2019-07-26 12:42:50.331,0,0,768
89,2019-07-26 12:52:50.442,0,0,1198
90,2019-07-26 13:02:50.757,0,0,1319
91,2019-07-26 13:12:50.761,0,0,1461
92,2019-07-26 13:22:50.701,0,0,1119
93,2019-07-26 13:32:51.110,0,0,761
94,2019-07-26 13:42:50.905,0,0,1229
95,2019-07-26 13:52:50.975,0,0,894
96,2019-07-26 14:02:51.424,0,0,1533
97,2019-07-26 14:12:51.518,0,0,694
98,2019-07-26 14:22:51.626,0,0,982
99,2019-07-26 14:32:51.724,0,0,1065
100,2019-07-26 14:42:51.821,0,0,792
101,2019-07-26 14:52:52.076,0,0,1101
102,2019-07-26 15:02:52.252,0,0,861
103,2019-07-26 15:12:52.351,0,0,616
104,2019-07-26 15:22:52.462,0,0,897
105,2019-07-26 15:32:52.297,0,0,839
106,2019-07-26 15:42:52.749,0,0,486
107,2019-07-26 15:52:52.882,0,0,591
108,2019-07-26 16:02:53.012,0,0,384
109,2019-07-26 16:12:52.652,0,0,632
110,2019-07-26 16:22:52.579,0,0,354
111,2019-07-26 16:32:52.844,0,0,531
112,2019-07-26 16:42:52.901,0,0,898
113,2019-07-26 16:52:52.980,0,0,947
114,2019-07-26 17:02:53.412,0,0,734
115,2019-07-26 17:12:53.455,0,0,904
116,2019-07-26 17:22:53.088,0,0,493
117,2019-07-26 17:32:53.683,0,0,724
118,2019-07-26 17:42:53.568,0,0,237
119,2019-07-26 17:52:53.553,0,0,721
120,2019-07-26 18:02:53.434,0,0,269
121,2019-07-26 18:12:53.736,0,0,239
122,2019-07-26 18:22:53.917,0,0,313
123,2019-07-26 18:32:54.213,0,0,224
124,2019-07-26 18:42:53.835,0,0,187
125,2019-07-26 18:52:54.206,0,0,194
126,2019-07-26 19:02:54.295,0,0,498
127,2019-07-26 19:12:54.400,0,0,504
128,2019-07-26 19:22:54.719,0,0,292
129,2019-07-26 19:32:54.579,0,0,182
130,2019-07-26 19:42:54.632,0,0,433
131,2019-07-26 19:52:54.658,0,0,2
132,2019-07-26 20:02:54.577,0,0,1
133,2019-07-26 20:12:54.743,0,0,6
134,2019-07-26 20:22:55.355,0,0,42
135,2019-07-26 20:32:55.166,0,0,0
136,2019-07-26 20:42:55.183,0,0,0
137,2019-07-26 20:52:55.393,0,0,2
138,2019-07-26 21:02:55.446,0,0,5
139,2019-07-26 21:12:55.540,0,0,0
140,2019-07-26 21:22:55.937,0,0,34
141,2019-07-26 21:32:55.874,0,0,2
142,2019-07-26 21:42:55.767,0,0,0
143,2019-07-26 21:52:56.166,0,0,3
144,2019-07-26 22:02:56.083,0,0,3
145,2019-07-26 22:12:56.292,0,0,4
146,2019-07-26 22:22:56.075,0,0,29
147,2019-07-26 22:32:56.050,0,0,148
148,2019-07-26 22:42:56.474,0,0,730
149,2019-07-26 22:52:56.524,0,0,700
150,2019-07-26 23:02:56.633,0,0,318
151,2019-07-26 23:12:56.938,0,0,72
152,2019-07-26 23:22:57.121,0,0,113
153,2019-07-26 23:32:56.992,0,0,207
154,2019-07-26 23:42:57.208,0,0,100
155,2019-07-26 23:52:57.102,0,0,144
156,2019-07-27 00:02:57.162,0,0,265
157,2019-07-27 00:12:57.056,0,0,100
158,2019-07-27 00:22:57.138,0,0,112
159,2019-07-27 00:32:57.536,0,0,83
160,2019-07-27 00:42:57.330,0,0,96
161,2019-07-27 00:52:57.913,0,0,247
162,2019-07-27 01:02:57.933,0,0,354
163,2019-07-27 01:12:57.767,0,0,267
164,2019-07-27 01:22:58.174,0,0,190
165,2019-07-27 01:32:58.146,0,0,248
166,2019-07-27 01:42:58.157,0,0,226
167,2019-07-27 01:52:58.492,0,0,149
168,2019-07-27 02:02:58.311,0,0,25
169,2019-07-27 02:12:58.120,0,0,93
170,2019-07-27 02:22:58.755,0,0,20
171,2019-07-27 02:32:58.881,0,0,261
172,2019-07-27 02:42:58.947,0,0,18
173,2019-07-27 02:52:59.046,0,0,0
174,2019-07-27 03:02:58.638,0,0,40
175,2019-07-27 03:12:59.108,0,0,47
176,2019-07-27 03:22:59.191,0,0,29
177,2019-07-27 03:32:59.487,0,0,15
178,2019-07-27 03:42:59.350,0,0,96
179,2019-07-27 03:52:59.417,0,0,33
180,2019-07-27 04:02:59.707,0,0,17
181,2019-07-27 04:12:59.676,0,0,25
182,2019-07-27 04:22:59.953,0,0,16
183,2019-07-27 04:32:59.751,0,0,0
184,2019-07-27 04:42:59.927,0,0,0
185,2019-07-27 04:53:00.244,0,0,4
186,2019-07-27 05:03:00.213,0,0,41
187,2019-07-27 05:13:00.576,0,0,60
188,2019-07-27 05:23:00.391,0,0,7
189,2019-07-27 05:33:00.653,0,0,1
190,2019-07-27 05:43:00.525,0,0,6
191,2019-07-27 05:53:00.851,0,0,59
192,2019-07-27 06:03:00.896,0,0,95
193,2019-07-27 06:13:00.974,0,0,54
194,2019-07-27 06:23:00.838,0,0,114
195,2019-07-27 06:33:00.768,0,0,0
196,2019-07-27 06:43:01.124,0,0,0
197,2019-07-27 06:53:01.267,0,0,5
198,2019-07-27 07:03:01.382,0,0,24
199,2019-07-27 07:13:01.456,0,0,0
200,2019-07-27 07:23:01.233,0,0,0
201,2019-07-27 07:33:01.416,0,0,0
